location,total_sqft,bath,balcony,bhk,price
Sanjeevini Nagar,2795.0,4.0,0.0,3.0,235.0
Hulimavu,1125.0,2.0,2.0,2.0,50.0
Electronic City Phase II,1020.0,2.0,1.0,2.0,30.6
Kalena Agrahara,1200.0,2.0,2.0,2.0,50.0
Thanisandra,1735.0,3.0,3.0,3.0,135.0
Thanisandra,2050.0,3.0,1.0,3.0,145.0
Mahalakshmi Layout,3750.0,4.0,0.0,4.0,760.0
Yarandahalli,1350.0,2.0,3.0,3.0,48.0
Hosa Road,1063.0,2.0,1.0,2.0,32.0
Keshava Nagar,1904.0,3.0,1.0,3.0,150.0
RMV Extension,2000.0,3.0,1.0,3.0,175.0
Sarjapur,1242.5,2.0,0.0,2.0,43.49
Tejaswini Nagar,1425.0,2.0,2.0,3.0,75.0
Electronic City,1500.0,2.0,1.0,3.0,64.5
Electronic City,1060.0,2.0,1.0,2.0,60.0
Jai Bheema Nagar,1470.0,2.0,2.0,3.0,70.0
Electronic City,1152.0,2.0,1.0,2.0,64.5
Electronic City,1350.0,2.0,1.0,3.0,56.0
CV Raman Nagar,1550.0,3.0,3.0,3.0,65.0
CHIKKATIRUPATHI,1500.0,3.0,2.0,3.0,100.0
Kumaraswami Layout,600.0,3.0,2.0,5.0,85.0
Nagavara,400.0,1.0,0.0,1.0,14.0
Malleshwaram,705.0,1.0,2.0,1.0,67.0
Electronic City,770.0,1.0,1.0,2.0,36.0
Hulimavu,1242.0,2.0,3.0,2.0,51.0
Hebbal Kempapura,1700.0,3.0,2.0,3.0,155.0
Thanisandra,2144.0,3.0,2.0,3.0,145.0
Vijayanagar,1704.0,3.0,2.0,3.0,110.0
Electronic City,1070.0,2.0,1.0,2.0,52.0
8th block Koramangala,1846.0,3.0,2.0,3.0,300.0
Jakkuru Layout,1340.0,2.0,2.0,2.0,55.7
Electronic City,1025.0,2.0,1.0,2.0,46.0
KR Puram,1277.5,2.0,0.0,2.0,56.8
Marathahalli,1200.0,2.0,2.0,2.0,52.0
Kanakpura Road,2250.0,4.0,1.0,4.0,110.0
Pattandur Agrahara,1550.0,2.0,3.0,3.0,80.0
Marathahalli,1200.0,2.0,2.0,2.0,60.0
Yelahanka,1327.0,2.0,2.0,2.0,98.0
Kothanur,1186.0,2.0,2.0,2.0,58.0
MS Pallya,1783.0,3.0,1.0,3.0,115.0
HSR Layout,1400.0,3.0,2.0,3.0,56.0
Nagasandra,980.0,2.0,1.0,2.0,48.0
EPIP Zone,1285.0,2.0,2.0,2.0,82.0
Langford Town,912.0,2.0,1.0,3.0,70.0
Whitefield,1225.0,2.0,2.0,2.0,47.6
Whitefield,1075.0,2.0,1.0,2.0,53.0
Kadugodi,1260.0,2.0,2.0,3.0,54.0
Yelahanka,1282.0,2.0,2.0,3.0,48.7
Kogilu,1909.0,3.0,2.0,3.0,88.0
Panathur,1359.0,2.0,1.0,2.0,87.0
Nagondanahalli,1207.0,2.0,2.0,2.0,43.5
1st Block Jayanagar,2850.0,4.0,1.0,4.0,428.0
Kammasandra,1595.0,3.0,2.0,3.0,65.0
"Off Sarjapur Road, ",1798.0,3.0,2.0,3.0,89.0
Electronics City Phase 1,1475.0,3.0,2.0,3.0,78.29
Tala Cauvery Layout,1580.0,3.0,3.0,3.0,100.0
Dasarahalli,1295.0,2.0,1.0,2.0,65.0
Magadi Road,3600.0,6.0,0.0,6.0,141.0
Electronic City,589.0,1.0,1.0,1.0,27.0
Ngef Layout,1415.0,3.0,3.0,3.0,78.0
Sarjapur  Road,1787.0,3.0,2.0,3.0,98.29
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0
Koramangala,1475.0,2.0,3.0,3.0,90.0
"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,4.0,75.5
Sarjapur  Road,984.0,2.0,1.0,2.0,44.28
Devanahalli,1630.0,3.0,0.0,3.0,74.82
Muthurayya Swamy Layout,2405.0,4.0,2.0,3.0,260.0
7th Phase JP Nagar,1080.0,2.0,2.0,2.0,72.0
Shantiniketan Layout,1500.0,2.0,1.0,2.0,115.0
Hebbal,1900.0,3.0,2.0,3.0,119.0
Dommasandra,805.0,2.0,1.0,2.0,22.14
Budigere,1153.0,2.0,2.0,2.0,56.4
Dodda Nekkundi Extension,1148.0,2.0,2.0,2.0,60.0
Mylasandra,1110.0,2.0,2.0,2.0,55.0
Electronic City,1100.0,2.0,2.0,2.0,42.0
Kalyan nagar,1290.0,2.0,2.0,2.0,110.0
Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,3.0,65.0
Bank Of Baroda Colony,1080.0,2.0,2.0,2.0,39.0
Vijayanagar,1933.0,3.0,1.0,3.0,129.0
Ramamurthy Nagar,3500.0,5.0,2.0,5.0,150.0
Kullappa Colony,1060.0,2.0,2.0,2.0,60.0
Chandapura,645.0,1.0,1.0,1.0,16.45
Mukkutam Nagar,2600.0,8.0,2.0,8.0,180.0
Chandapura,645.0,1.0,1.0,1.0,16.45
Ashwath Nagar,1644.0,3.0,3.0,3.0,84.0
Ncpr Industrial Layout,1285.0,2.0,3.0,2.0,72.5
Electronic City,1200.0,3.0,1.0,3.0,90.0
Electronic City,910.0,2.0,1.0,2.0,40.0
Kothanur,1577.0,3.0,1.0,3.0,70.0
OMBR Layout,2420.0,3.0,2.0,3.0,185.0
Anand Nagar,1060.0,2.0,2.0,2.0,55.0
7th Phase JP Nagar,1270.0,2.0,2.0,2.0,93.0
Kundalahalli Colony,1280.0,2.0,1.0,2.0,69.0
Horamavu Agara,1200.0,2.0,0.0,4.0,95.0
Sarjapur  Road,1025.0,2.0,2.0,2.0,36.0
Electronic City,1108.0,2.0,1.0,2.0,63.0
Coffee Board Layout,3045.0,3.0,2.0,3.0,170.0
Ambedkar Nagar,2900.0,3.0,2.0,4.0,300.0
Vijayanagar,1500.0,3.0,2.0,3.0,75.5
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,43.9
Budigere,1162.0,2.0,1.0,2.0,59.9
Sarjapur  Road,1035.0,2.0,2.0,2.0,49.2
KUDLU MAIN ROAD,1464.0,3.0,2.0,3.0,46.0
Hennur Road,1866.0,2.0,2.0,3.0,61.58
Geleyara Balaga Layout,700.0,1.0,1.0,2.0,26.0
Kalena Agrahara,1804.0,3.0,2.0,3.0,120.0
Sarjapur,913.0,2.0,1.0,2.0,32.0
Talaghattapura,1868.0,3.0,2.0,3.0,131.0
Kengeri Satellite Town,883.0,2.0,1.0,2.0,45.0
Sundara Nagar,900.0,2.0,1.0,2.0,110.0
Kogilu,1664.0,2.0,3.0,3.0,73.95
Hegde Nagar,2026.0,3.0,2.0,3.0,132.0
Balagere,1210.0,2.0,1.0,2.0,80.9
Kadugodi,1762.0,3.0,3.0,3.0,91.45
Jigani,1252.0,3.0,3.0,3.0,55.0
Gollarapalya Hosahalli,861.0,2.0,1.0,2.0,34.5
7th Phase JP Nagar,1420.0,2.0,1.0,3.0,100.0
Electronics City Phase 1,1490.0,3.0,1.0,3.0,78.8
Bisuvanahalli,1075.0,2.0,1.0,3.0,46.0
Old Madras Road,1425.0,2.0,2.0,3.0,94.0
Kalena Agrahara,1200.0,2.0,1.0,2.0,40.0
Kaggadasapura,1280.0,2.0,2.0,3.0,56.0
Silver Springs Layout,1084.0,2.0,2.0,2.0,50.0
Chandapura,1015.0,2.0,2.0,2.0,25.88
Kanakpura Road,1017.0,2.0,1.0,2.0,51.25
Haralur Road,1027.0,2.0,2.0,2.0,44.0
Electronic City Phase II,1069.0,2.0,2.0,2.0,45.0
Hebbal,1349.0,2.0,1.0,2.0,98.2
9th Phase JP Nagar,1005.0,2.0,1.0,2.0,50.0
Jakkur,1417.0,2.0,3.0,2.0,75.0
TC Palaya,1475.0,3.0,1.0,3.0,98.0
Maruthi Sevanagar,950.0,2.0,2.0,2.0,47.0
RMV 2nd Stage,2000.0,4.0,0.0,4.0,120.0
Giri Nagar,880.0,3.0,1.0,3.0,140.0
Sarjapur  Road,1863.0,3.0,2.0,4.0,104.0
Singasandra,1010.0,2.0,1.0,2.0,29.5
Kalena Agrahara,1425.0,2.0,1.0,3.0,70.0
Vijayanagar,1450.0,3.0,0.0,3.0,100.0
Kothanur,1847.0,3.0,2.0,3.0,105.0
AECS Layout,1100.0,2.0,3.0,2.0,45.0
Kanakpura Road,525.0,1.0,1.0,1.0,26.0
Mallasandra,1665.0,3.0,2.0,3.0,95.0
JP Nagar,1850.0,3.0,3.0,3.0,150.0
Panathur,1438.0,2.0,3.0,2.0,100.0
Sunder Ram Shetty Nagar,1560.0,3.0,3.0,3.0,115.0
Yelahanka,1350.0,2.0,1.0,2.0,55.55
Kanakpura Road,1550.0,3.0,3.0,3.0,67.0
Malleshpalya,1140.0,2.0,2.0,2.0,46.5
Kodathi,850.0,2.0,2.0,2.0,27.0
Whitefield,1280.0,2.0,2.0,2.0,75.0
Munnekollal,1170.0,2.0,2.0,2.0,52.0
Motappa Layout,1113.0,2.0,1.0,2.0,51.0
Hennur Road,1385.0,2.0,1.0,2.0,83.09
Electronic City,1128.0,2.0,1.0,2.0,65.0
Marathahalli,1200.0,2.0,2.0,2.0,128.0
Rajaji Nagar,2390.0,3.0,2.0,3.0,415.0
Giri Nagar,2400.0,4.0,1.0,4.0,400.0
Haralur Road,1464.0,3.0,2.0,3.0,56.0
Manayata Tech Park,1200.0,2.0,2.0,2.0,55.0
Kaval Byrasandra,1200.0,2.0,2.0,2.0,52.0
Kaggalipura,1150.0,2.0,1.0,3.0,55.0
Basavanna Nagar,1645.0,3.0,2.0,3.0,95.0
Sarjapur  Road,1000.0,2.0,1.0,2.0,67.0
Haralur Road,2650.0,4.0,2.0,4.0,198.0
6th Phase JP Nagar,1192.0,2.0,2.0,2.0,74.0
Ulsoor,2135.0,3.0,2.0,3.0,215.0
Whitefield,1173.0,2.0,1.0,2.0,58.0
Uttarahalli,1020.0,2.0,2.0,2.0,45.0
Thigalarapalya,3122.0,6.0,2.0,4.0,230.0
Somasundara Palya,1600.0,3.0,3.0,3.0,64.0
T.C PALYA,1200.0,2.0,0.0,2.0,79.0
Muneshwara Nagar,1230.0,2.0,3.0,2.0,48.0
 Devarachikkanahalli,1250.0,2.0,2.0,2.0,40.0
Kalena Agrahara,1325.0,2.0,2.0,2.0,76.0
7th Phase JP Nagar,1850.0,3.0,1.0,3.0,150.0
Kanakpura Road,525.0,1.0,0.0,1.0,21.53
Basaveshwara Nagar,1200.0,2.0,2.0,2.0,65.0
Bull Temple Road,1350.0,2.0,0.0,3.0,140.0
Bommasandra,1260.0,3.0,1.0,3.0,49.36
Prashanth Nagar,1800.0,3.0,0.0,3.0,150.0
Ardendale,1100.0,2.0,1.0,2.0,43.25
Harlur,1508.0,2.0,1.0,2.0,77.0
Sampigehalli,1592.0,3.0,2.0,3.0,75.0
Akshaya Nagar,1388.0,2.0,3.0,2.0,57.0
Electronic City Phase II,630.0,1.0,1.0,1.0,28.35
RMV,2000.0,3.0,2.0,3.0,365.0
Banashankari3rd stage bigbazar,1762.0,3.0,1.0,3.0,125.0
Bagalur Main Road,950.0,2.0,2.0,2.0,50.0
Kodihalli,3252.0,5.0,3.0,4.0,335.0
Magadi Road,1116.0,2.0,1.0,2.0,50.0
Narayanapura,1308.0,2.0,2.0,2.0,89.04
MS Pallya,1200.0,3.0,0.0,3.0,90.0
Bannerghatta Road,500.0,1.0,1.0,1.0,18.5
Hennur,1075.0,2.0,1.0,2.0,52.0
Bellandur,1205.0,2.0,3.0,2.0,66.0
5th Phase JP Nagar,1075.0,2.0,2.0,2.0,60.0
KR Puram,930.0,2.0,2.0,2.0,39.0
Balagere,1380.0,2.0,1.0,2.0,60.0
Hebbal,2483.0,5.0,2.0,4.0,212.0
Kodigehaali,1166.0,2.0,2.0,2.0,55.0
Bannerghatta Road,1050.0,2.0,1.0,2.0,65.0
Gopalapura,2023.71,3.0,2.0,3.0,275.0
Begur Road,1200.0,2.0,2.0,2.0,46.8
Lakshminarayana Pura,1600.0,2.0,1.0,3.0,108.0
Billekahalli,1935.0,3.0,2.0,3.0,110.0
8th Phase JP Nagar,451.0,1.0,0.0,1.0,29.9
Electronic City,1800.0,3.0,2.0,3.0,95.0
Jalahalli,1400.0,3.0,0.0,3.0,77.0
Hegde Nagar,1801.0,3.0,2.0,3.0,115.0
Mahadevpura,1451.0,2.0,0.0,2.0,90.0
Anekal,1200.0,1.0,1.0,2.0,36.0
Begur Road,1160.0,2.0,2.0,2.0,44.0
Kanakpura Road,950.0,2.0,1.0,2.0,40.0
"Hoodi Circle, ",1629.0,3.0,2.0,3.0,79.0
Vijayanagar,1580.0,2.0,0.0,3.0,134.0
Vijayanagar,1826.0,3.0,2.0,3.0,121.0
7th Phase JP Nagar,1245.0,2.0,1.0,2.0,94.0
Raja Rajeshwari Nagar,1145.0,2.0,2.0,2.0,45.79
Sompura,825.0,2.0,1.0,2.0,33.0
Yeshwanthpur,1693.0,3.0,3.0,3.0,108.0
Electronics City Phase 1,1113.27,2.0,2.0,2.0,53.0
Ashirvad Colony,1460.0,2.0,1.0,2.0,58.0
Doddathoguru,1050.0,2.0,1.0,2.0,32.0
Dodda Nekkundi,1260.0,2.0,2.0,2.0,55.0
K N Extension,700.0,3.0,0.0,6.0,120.0
Hosur Road,1656.0,2.0,1.0,2.0,120.0
Chandapura,1208.0,3.0,1.0,3.0,45.0
Whitefield,1910.0,3.0,2.0,3.0,161.0
Whitefield,3252.0,4.0,1.0,4.0,230.0
Battarahalli,1200.0,2.0,1.0,2.0,65.0
7th Phase JP Nagar,1175.0,2.0,1.0,2.0,82.0
Kamakshipalya,1000.0,2.0,0.0,2.0,165.0
Bannerghatta Road,1200.0,2.0,0.0,4.0,125.0
Rajaji Nagar,2390.0,3.0,2.0,3.0,410.0
Sultan Palaya,550.0,1.0,1.0,2.0,62.0
Kengeri,370.92,1.0,0.0,1.0,18.5
Sanne Amanikere,1185.0,2.0,0.0,2.0,38.0
Kengeri,750.0,2.0,1.0,2.0,38.0
Kanakpura Road,1550.0,3.0,3.0,3.0,64.5
Amco Colony,1760.0,3.0,2.0,3.0,88.0
Billekahalli,1125.0,2.0,2.0,2.0,62.0
Nagarbhavi,1350.0,3.0,2.0,3.0,150.0
Anandapura,1000.0,2.0,1.0,2.0,55.0
Bommasandra Industrial Area,1090.0,2.0,2.0,2.0,31.48
TC Palaya,1200.0,2.0,0.0,2.0,60.0
Ambalipura,1105.0,2.0,1.0,2.0,75.0
Hoodi,985.0,2.0,2.0,2.0,67.0
Balagere,1590.0,3.0,2.0,3.0,79.0
CV Raman Nagar,1120.0,2.0,2.0,2.0,55.0
Samethanahalli,1069.0,2.0,1.0,2.0,55.0
Marathahalli,1933.0,3.0,2.0,3.0,140.0
Hosur Road,1194.0,2.0,0.0,2.0,69.0
Brookefield,1150.0,2.0,3.0,2.0,69.0
Yelenahalli,1240.0,2.0,2.0,2.0,47.12
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2.0,48.1
Richmond Town,2150.0,4.0,0.0,3.0,240.0
Suddaguntepalya,1450.0,3.0,2.0,3.0,55.0
Udayapur Village,1630.0,3.0,2.0,3.0,68.29
Dasanapura,708.0,1.0,1.0,2.0,40.0
Bellandur,1250.0,2.0,1.0,2.0,76.0
7th Phase JP Nagar,1400.0,2.0,1.0,3.0,95.0
Sarjapur  Road,1670.0,2.0,3.0,3.0,57.0
Ardendale,1750.0,3.0,2.0,3.0,100.0
Vittasandra,1404.0,2.0,1.0,2.0,71.0
Hoodi,1715.0,2.0,2.0,3.0,95.0
Electronic City,630.0,1.0,1.0,1.0,34.65
Harlur,1752.12,3.0,2.0,3.0,135.0
Hulimavu,1650.0,3.0,2.0,3.0,78.0
Raja Rajeshwari Nagar,1295.0,2.0,1.0,2.0,55.47
Giri Nagar,1800.0,3.0,2.0,3.0,252.0
Sarjapur  Road,1346.0,2.0,1.0,2.0,74.03
Hormavu,1150.0,2.0,2.0,2.0,55.0
Chikkabidarakallu,3309.0,4.0,3.0,4.0,325.0
Chandapura,1190.0,2.0,2.0,3.0,30.35
AECS Layout,1620.0,3.0,2.0,3.0,98.0
Marathahalli,950.0,2.0,1.0,2.0,46.96
Harlur,2450.0,3.0,0.0,3.0,120.0
Electronic City Phase II,1220.0,2.0,1.0,3.0,35.23
Hoysalanagar,850.0,2.0,1.0,2.0,30.0
Padmanabhanagar,1020.0,2.0,2.0,2.0,63.0
Chikkalasandra,1100.0,2.0,2.0,2.0,50.0
Defence Colony,1150.0,2.0,2.0,2.0,126.0
Hebbal,1760.0,2.0,2.0,3.0,130.0
Ambalipura,1800.0,3.0,3.0,3.0,110.0
Akshaya Nagar,1070.0,2.0,1.0,2.0,54.0
Vidyaranyapura,1440.0,2.0,0.0,2.0,95.0
Amruthahalli,900.0,2.0,1.0,2.0,40.0
Whitefield,1130.0,2.0,1.0,2.0,42.16
Koramangala,1320.0,2.0,1.0,2.0,165.0
Kodigehalli,1270.0,2.0,1.0,2.0,98.0
Patelappa Layout,1200.0,2.0,1.0,2.0,62.0
NS Palya,1200.0,2.0,1.0,2.0,74.0
Subramanyapura,929.0,2.0,0.0,2.0,50.17
Kenchenahalli,500.0,3.0,2.0,5.0,65.0
KUDLU MAIN ROAD,1464.0,3.0,2.0,3.0,56.0
7th Phase JP Nagar,3600.0,4.0,3.0,4.0,400.0
Bank Avenue,2000.0,4.0,2.0,4.0,99.0
Chikkalasandra,1208.0,2.0,1.0,2.0,49.0
Hebbal Kempapura,1130.0,2.0,2.0,2.0,60.0
Surabhi Layout,1753.0,3.0,2.0,3.0,120.0
Banjara Layout,600.0,3.0,2.0,3.0,58.0
Hoodi,1196.0,2.0,2.0,2.0,94.42
5th Phase JP Nagar,1150.0,3.0,3.0,2.0,52.5
Electronic City,1128.0,2.0,1.0,2.0,63.0
Omkar Nagar,1000.0,2.0,1.0,2.0,53.0
Yelahanka,1035.0,2.0,1.0,2.0,45.0
Kereguddadahalli,950.0,2.0,1.0,2.0,32.0
Bisuvanahalli,1075.0,2.0,1.0,3.0,36.0
Whitefield,1040.0,2.0,1.0,2.0,48.5
Maragondanahalli,720.0,2.0,1.0,2.0,45.0
Lingadheeranahalli,1511.0,3.0,1.0,3.0,95.0
Silk Board,1300.0,3.0,1.0,3.0,58.0
Hoodi,1545.0,3.0,1.0,3.0,68.75
Shampura,375.0,2.0,0.0,1.0,26.0
Vidyaranyapura,1062.0,2.0,3.0,2.0,38.0
Kada Agrahara,1115.0,2.0,1.0,2.0,40.0
JP Nagar,1000.0,2.0,1.0,2.0,35.0
Kambipura,883.0,2.0,1.0,2.0,45.0
Sarjapur  Road,1195.0,2.0,1.0,2.0,70.0
BHEL Layout,1200.0,3.0,1.0,4.0,165.0
Medahalli,700.0,1.0,0.0,1.0,41.0
Vittasandra,1246.0,2.0,1.0,2.0,67.0
Haralur Road,2805.0,5.0,3.0,4.0,154.0
Begur Road,1584.0,3.0,0.0,3.0,65.0
Sector 7 HSR Layout,3000.0,5.0,1.0,4.0,275.0
Hosur Road,1175.0,2.0,2.0,3.0,48.0
"Yemlur, Old Airport Road, ",1595.0,3.0,2.0,3.0,115.0
VHBCS Layout,1353.0,2.0,2.0,2.0,110.0
Electronic City,1599.0,3.0,2.0,3.0,125.0
Whitefield,1150.0,2.0,1.0,2.0,70.0
KR Puram,1155.0,2.0,2.0,2.0,42.74
Ittamadu,1200.0,2.0,0.0,1.0,85.0
Thanisandra,3000.0,4.0,0.0,4.0,120.0
Rajiv Nagar,1867.0,3.0,1.0,3.0,160.0
Ramagondanahalli,1251.0,2.0,1.0,2.0,47.0
Gattahalli,1028.0,2.0,1.0,2.0,45.5
Arekere,1222.0,2.0,2.0,2.0,45.0
Bannerghatta Road,1170.0,2.0,1.0,3.0,66.0
Hebbal,2400.0,4.0,1.0,3.0,245.0
Ramanjaneyanagar,1385.0,2.0,2.0,3.0,48.48
HSR Layout,1372.0,2.0,1.0,2.0,68.0
Magadi Road,1282.0,2.0,2.0,3.0,49.0
7th Block Jayanagar,3000.0,3.0,1.0,5.0,528.0
