location,total_sqft,bath,balcony,bhk,price
Kanakpura Road,2250.0,4.0,1.0,4.0,110.0
Marathahalli,1200.0,2.0,2.0,2.0,60.0
Yelahanka,1327.0,2.0,2.0,2.0,98.0
Kothanur,1186.0,2.0,2.0,2.0,58.0
HSR Layout,1400.0,3.0,2.0,3.0,56.0
Whitefield,1225.0,2.0,2.0,2.0,47.6
Whitefield,1075.0,2.0,1.0,2.0,53.0
Kadugodi,1260.0,2.0,2.0,3.0,54.0
Yelahanka,1282.0,2.0,2.0,3.0,48.7
Panathur,1359.0,2.0,1.0,2.0,87.0
Electronics City Phase 1,1475.0,3.0,2.0,3.0,78.29
Electronic City,589.0,1.0,1.0,1.0,27.0
Sarjapur  Road,1787.0,3.0,2.0,3.0,98.29
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0
Koramangala,1475.0,2.0,3.0,3.0,90.0
Sarjapur  Road,984.0,2.0,1.0,2.0,44.28
Devanahalli,1630.0,3.0,0.0,3.0,74.82
7th Phase JP Nagar,1080.0,2.0,2.0,2.0,72.0
Hebbal,1900.0,3.0,2.0,3.0,119.0
Budigere,1153.0,2.0,2.0,2.0,56.4
Electronic City,1100.0,2.0,2.0,2.0,42.0
Vijayanagar,1933.0,3.0,1.0,3.0,129.0
Ramamurthy Nagar,3500.0,5.0,2.0,5.0,150.0
Chandapura,645.0,1.0,1.0,1.0,16.45
Chandapura,645.0,1.0,1.0,1.0,16.45
Electronic City,1200.0,3.0,1.0,3.0,90.0
Electronic City,910.0,2.0,1.0,2.0,40.0
Kothanur,1577.0,3.0,1.0,3.0,70.0
7th Phase JP Nagar,1270.0,2.0,2.0,2.0,93.0
Horamavu Agara,1200.0,2.0,0.0,4.0,95.0
Sarjapur  Road,1025.0,2.0,2.0,2.0,36.0
Electronic City,1108.0,2.0,1.0,2.0,63.0
Vijayanagar,1500.0,3.0,2.0,3.0,75.5
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,43.9
Budigere,1162.0,2.0,1.0,2.0,59.9
Sarjapur  Road,1035.0,2.0,2.0,2.0,49.2
Hennur Road,1866.0,2.0,2.0,3.0,61.58
Kalena Agrahara,1804.0,3.0,2.0,3.0,120.0
Sarjapur,913.0,2.0,1.0,2.0,32.0
Talaghattapura,1868.0,3.0,2.0,3.0,131.0
Kengeri Satellite Town,883.0,2.0,1.0,2.0,45.0
Hegde Nagar,2026.0,3.0,2.0,3.0,132.0
Balagere,1210.0,2.0,1.0,2.0,80.9
Kadugodi,1762.0,3.0,3.0,3.0,91.45
Jigani,1252.0,3.0,3.0,3.0,55.0
7th Phase JP Nagar,1420.0,2.0,1.0,3.0,100.0
Electronics City Phase 1,1490.0,3.0,1.0,3.0,78.8
Bisuvanahalli,1075.0,2.0,1.0,3.0,46.0
Old Madras Road,1425.0,2.0,2.0,3.0,94.0
Kalena Agrahara,1200.0,2.0,1.0,2.0,40.0
Kaggadasapura,1280.0,2.0,2.0,3.0,56.0
Chandapura,1015.0,2.0,2.0,2.0,25.88
Kanakpura Road,1017.0,2.0,1.0,2.0,51.25
Haralur Road,1027.0,2.0,2.0,2.0,44.0
Electronic City Phase II,1069.0,2.0,2.0,2.0,45.0
Hebbal,1349.0,2.0,1.0,2.0,98.2
9th Phase JP Nagar,1005.0,2.0,1.0,2.0,50.0
Jakkur,1417.0,2.0,3.0,2.0,75.0
TC Palaya,1475.0,3.0,1.0,3.0,98.0
Sarjapur  Road,1863.0,3.0,2.0,4.0,104.0
Kalena Agrahara,1425.0,2.0,1.0,3.0,70.0
Vijayanagar,1450.0,3.0,0.0,3.0,100.0
Kothanur,1847.0,3.0,2.0,3.0,105.0
Kanakpura Road,525.0,1.0,1.0,1.0,26.0
JP Nagar,1850.0,3.0,3.0,3.0,150.0
Panathur,1438.0,2.0,3.0,2.0,100.0
Yelahanka,1350.0,2.0,1.0,2.0,55.55
Kanakpura Road,1550.0,3.0,3.0,3.0,67.0
Whitefield,1280.0,2.0,2.0,2.0,75.0
Hennur Road,1385.0,2.0,1.0,2.0,83.09
Electronic City,1128.0,2.0,1.0,2.0,65.0
Marathahalli,1200.0,2.0,2.0,2.0,128.0
Rajaji Nagar,2390.0,3.0,2.0,3.0,415.0
Haralur Road,1464.0,3.0,2.0,3.0,56.0
Sarjapur  Road,1000.0,2.0,1.0,2.0,67.0
Haralur Road,2650.0,4.0,2.0,4.0,198.0
Whitefield,1173.0,2.0,1.0,2.0,58.0
Uttarahalli,1020.0,2.0,2.0,2.0,45.0
Thigalarapalya,3122.0,6.0,2.0,4.0,230.0
Somasundara Palya,1600.0,3.0,3.0,3.0,64.0
Kalena Agrahara,1325.0,2.0,2.0,2.0,76.0
7th Phase JP Nagar,1850.0,3.0,1.0,3.0,150.0
Kanakpura Road,525.0,1.0,0.0,1.0,21.53
Bommasandra,1260.0,3.0,1.0,3.0,49.36
Harlur,1508.0,2.0,1.0,2.0,77.0
Akshaya Nagar,1388.0,2.0,3.0,2.0,57.0
Electronic City Phase II,630.0,1.0,1.0,1.0,28.35
Bannerghatta Road,500.0,1.0,1.0,1.0,18.5
Hennur,1075.0,2.0,1.0,2.0,52.0
Bellandur,1205.0,2.0,3.0,2.0,66.0
5th Phase JP Nagar,1075.0,2.0,2.0,2.0,60.0
KR Puram,930.0,2.0,2.0,2.0,39.0
Balagere,1380.0,2.0,1.0,2.0,60.0
Hebbal,2483.0,5.0,2.0,4.0,212.0
Bannerghatta Road,1050.0,2.0,1.0,2.0,65.0
Begur Road,1200.0,2.0,2.0,2.0,46.8
Lakshminarayana Pura,1600.0,2.0,1.0,3.0,108.0
8th Phase JP Nagar,451.0,1.0,0.0,1.0,29.9
Electronic City,1800.0,3.0,2.0,3.0,95.0
Jalahalli,1400.0,3.0,0.0,3.0,77.0
Hegde Nagar,1801.0,3.0,2.0,3.0,115.0
Mahadevpura,1451.0,2.0,0.0,2.0,90.0
Anekal,1200.0,1.0,1.0,2.0,36.0
Begur Road,1160.0,2.0,2.0,2.0,44.0
Kanakpura Road,950.0,2.0,1.0,2.0,40.0
Vijayanagar,1580.0,2.0,0.0,3.0,134.0
Vijayanagar,1826.0,3.0,2.0,3.0,121.0
7th Phase JP Nagar,1245.0,2.0,1.0,2.0,94.0
Raja Rajeshwari Nagar,1145.0,2.0,2.0,2.0,45.79
Yeshwanthpur,1693.0,3.0,3.0,3.0,108.0
Electronics City Phase 1,1113.27,2.0,2.0,2.0,53.0
Doddathoguru,1050.0,2.0,1.0,2.0,32.0
Dodda Nekkundi,1260.0,2.0,2.0,2.0,55.0
Hosur Road,1656.0,2.0,1.0,2.0,120.0
Chandapura,1208.0,3.0,1.0,3.0,45.0
Whitefield,1910.0,3.0,2.0,3.0,161.0
Whitefield,3252.0,4.0,1.0,4.0,230.0
7th Phase JP Nagar,1175.0,2.0,1.0,2.0,82.0
Bannerghatta Road,1200.0,2.0,0.0,4.0,125.0
Rajaji Nagar,2390.0,3.0,2.0,3.0,410.0
Kengeri,370.92,1.0,0.0,1.0,18.5
Kengeri,750.0,2.0,1.0,2.0,38.0
Kanakpura Road,1550.0,3.0,3.0,3.0,64.5
Nagarbhavi,1350.0,3.0,2.0,3.0,150.0
TC Palaya,1200.0,2.0,0.0,2.0,60.0
Ambalipura,1105.0,2.0,1.0,2.0,75.0
Hoodi,985.0,2.0,2.0,2.0,67.0
Balagere,1590.0,3.0,2.0,3.0,79.0
CV Raman Nagar,1120.0,2.0,2.0,2.0,55.0
Marathahalli,1933.0,3.0,2.0,3.0,140.0
Hosur Road,1194.0,2.0,0.0,2.0,69.0
Brookefield,1150.0,2.0,3.0,2.0,69.0
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2.0,48.1
Bellandur,1250.0,2.0,1.0,2.0,76.0
7th Phase JP Nagar,1400.0,2.0,1.0,3.0,95.0
Sarjapur  Road,1670.0,2.0,3.0,3.0,57.0
Vittasandra,1404.0,2.0,1.0,2.0,71.0
Hoodi,1715.0,2.0,2.0,3.0,95.0
Electronic City,630.0,1.0,1.0,1.0,34.65
Harlur,1752.12,3.0,2.0,3.0,135.0
Hulimavu,1650.0,3.0,2.0,3.0,78.0
Raja Rajeshwari Nagar,1295.0,2.0,1.0,2.0,55.47
Sarjapur  Road,1346.0,2.0,1.0,2.0,74.03
Hormavu,1150.0,2.0,2.0,2.0,55.0
Chandapura,1190.0,2.0,2.0,3.0,30.35
Marathahalli,950.0,2.0,1.0,2.0,46.96
Harlur,2450.0,3.0,0.0,3.0,120.0
Electronic City Phase II,1220.0,2.0,1.0,3.0,35.23
Chikkalasandra,1100.0,2.0,2.0,2.0,50.0
Hebbal,1760.0,2.0,2.0,3.0,130.0
Ambalipura,1800.0,3.0,3.0,3.0,110.0
Akshaya Nagar,1070.0,2.0,1.0,2.0,54.0
Vidyaranyapura,1440.0,2.0,0.0,2.0,95.0
Whitefield,1130.0,2.0,1.0,2.0,42.16
Koramangala,1320.0,2.0,1.0,2.0,165.0
Subramanyapura,929.0,2.0,0.0,2.0,50.17
7th Phase JP Nagar,3600.0,4.0,3.0,4.0,400.0
Chikkalasandra,1208.0,2.0,1.0,2.0,49.0
Hebbal Kempapura,1130.0,2.0,2.0,2.0,60.0
Hoodi,1196.0,2.0,2.0,2.0,94.42
5th Phase JP Nagar,1150.0,3.0,3.0,2.0,52.5
Electronic City,1128.0,2.0,1.0,2.0,63.0
Yelahanka,1035.0,2.0,1.0,2.0,45.0
Bisuvanahalli,1075.0,2.0,1.0,3.0,36.0
Whitefield,1040.0,2.0,1.0,2.0,48.5
Hoodi,1545.0,3.0,1.0,3.0,68.75
Vidyaranyapura,1062.0,2.0,3.0,2.0,38.0
JP Nagar,1000.0,2.0,1.0,2.0,35.0
Sarjapur  Road,1195.0,2.0,1.0,2.0,70.0
Vittasandra,1246.0,2.0,1.0,2.0,67.0
Haralur Road,2805.0,5.0,3.0,4.0,154.0
Begur Road,1584.0,3.0,0.0,3.0,65.0
Hosur Road,1175.0,2.0,2.0,3.0,48.0
Electronic City,1599.0,3.0,2.0,3.0,125.0
Whitefield,1150.0,2.0,1.0,2.0,70.0
KR Puram,1155.0,2.0,2.0,2.0,42.74
Thanisandra,3000.0,4.0,0.0,4.0,120.0
Ramagondanahalli,1251.0,2.0,1.0,2.0,47.0
Bannerghatta Road,1170.0,2.0,1.0,3.0,66.0
Hebbal,2400.0,4.0,1.0,3.0,245.0
HSR Layout,1372.0,2.0,1.0,2.0,68.0
Kanakpura Road,1135.0,2.0,1.0,2.0,39.73
Whitefield,1768.0,3.0,2.0,3.0,101.0
Electronic City,1599.0,3.0,2.0,3.0,99.0
Whitefield,1500.0,3.0,1.0,3.0,61.95
Uttarahalli,1286.0,2.0,2.0,2.0,63.0
Hennur Road,1317.5,2.0,0.0,2.0,63.77
Hebbal,3450.0,5.0,2.0,3.0,260.0
Yelahanka,1350.0,2.0,2.0,2.0,54.0
Banashankari,1200.0,2.0,2.0,3.0,42.0
Kanakpura Road,525.0,1.0,1.0,1.0,27.25
Attibele,656.0,2.0,1.0,2.0,25.0
Bannerghatta Road,595.0,1.0,1.0,1.0,33.32
7th Phase JP Nagar,2225.0,3.0,1.0,3.0,160.0
Electronics City Phase 1,1490.0,3.0,1.0,3.0,84.0
Sarjapur  Road,1550.0,3.0,3.0,3.0,100.0
Sarjapur  Road,2100.0,3.0,2.0,3.0,125.0
Vittasandra,1404.0,2.0,1.0,2.0,69.3
Sarjapur  Road,2230.0,4.0,3.0,4.0,225.0
Marathahalli,1230.0,2.0,2.0,2.0,80.0
Harlur,1460.0,3.0,1.0,3.0,73.0
Gottigere,967.0,2.0,3.0,2.0,45.0
Hormavu,715.0,1.0,2.0,1.0,46.0
Whitefield,2500.0,3.0,2.0,3.0,313.0
Mysore Road,1020.0,2.0,1.0,2.0,48.95
Jigani,1020.0,2.0,1.0,2.0,40.0
Koramangala,1253.0,2.0,1.0,2.0,102.0
Kanakapura,1419.0,3.0,3.0,3.0,75.0
Harlur,1709.0,3.0,2.0,3.0,150.0
HSR Layout,1430.0,2.0,1.0,3.0,65.0
Sarjapur  Road,1249.0,3.0,2.0,3.0,44.71
Kalena Agrahara,1450.0,2.0,3.0,3.0,85.0
Gottigere,891.0,2.0,1.0,2.0,25.0
Raja Rajeshwari Nagar,1133.0,2.0,1.0,2.0,49.07
Bisuvanahalli,1075.0,2.0,1.0,3.0,37.0
Brookefield,2440.0,5.0,2.0,4.0,425.0
Vidyaranyapura,1200.0,2.0,2.0,2.0,55.0
Thanisandra,1075.0,2.0,2.0,2.0,45.8
Kaggadasapura,1140.0,2.0,2.0,2.0,40.0
Raja Rajeshwari Nagar,1090.0,2.0,1.0,2.0,42.0
Whitefield,1790.0,3.0,0.0,3.0,100.0
Hebbal,1920.0,3.0,2.0,3.0,134.0
Bannerghatta Road,1445.0,3.0,2.0,3.0,95.0
Kanakapura,711.0,1.0,1.0,1.0,36.0
Tumkur Road,1500.0,3.0,3.0,3.0,95.0
Whitefield,1720.0,3.0,3.0,3.0,100.0
Kundalahalli,1030.0,2.0,2.0,2.0,49.0
Mysore Road,1200.0,2.0,1.0,2.0,85.0
Hegde Nagar,1050.0,1.0,0.0,2.0,56.0
Jalahalli,2250.0,3.0,2.0,3.0,160.0
Bellandur,1000.0,2.0,2.0,2.0,50.0
Marathahalli,3800.0,4.0,3.0,4.0,250.0
Malleshwaram,2500.0,5.0,2.0,4.0,325.0
Mahadevpura,1225.0,2.0,2.0,2.0,48.0
Chikkalasandra,875.0,2.0,3.0,2.0,52.8
Haralur Road,1194.0,2.0,2.0,2.0,47.0
Hennur Road,1500.0,2.0,2.0,3.0,62.0
Hosakerehalli,2378.0,3.0,1.0,3.0,262.0
Sarjapur,1128.0,2.0,1.0,2.0,60.0
Hebbal,1500.0,3.0,1.0,3.0,150.0
Sarjapur  Road,1210.0,2.0,2.0,2.0,58.0
Kanakpura Road,1100.0,2.0,1.0,3.0,58.0
Bommasandra,1200.0,3.0,2.0,3.0,46.0
Haralur Road,3385.0,5.0,0.0,4.0,260.0
Horamavu Agara,1200.0,2.0,1.0,2.0,45.0
Raja Rajeshwari Nagar,1260.0,2.0,1.0,2.0,67.39
Mahadevpura,1720.0,3.0,3.0,3.0,78.0
Yelahanka,1132.5,2.0,0.0,2.0,48.13
Yelahanka,1210.0,2.0,1.0,2.0,45.98
Indira Nagar,2200.0,4.0,2.0,4.0,200.0
Bisuvanahalli,1075.0,2.0,1.0,3.0,45.0
Thanisandra,1702.0,3.0,2.0,3.0,130.0
Raja Rajeshwari Nagar,1141.0,2.0,2.0,2.0,38.55
Bannerghatta Road,1640.0,2.0,1.0,3.0,120.0
Kodichikkanahalli,1190.0,2.0,2.0,3.0,57.0
Marathahalli,1019.0,2.0,2.0,2.0,49.85
Akshaya Nagar,1250.0,3.0,2.0,3.0,40.0
Brookefield,1200.0,3.0,2.0,3.0,140.0
Whitefield,1140.0,2.0,1.0,2.0,56.0
Kaggadasapura,1515.0,3.0,0.0,3.0,83.3
Hoodi,2118.0,4.0,2.0,4.0,111.0
Bannerghatta Road,1380.0,3.0,0.0,4.0,58.0
Electronic City,1125.0,2.0,1.0,2.0,32.49
Kothanur,1580.0,3.0,3.0,3.0,76.0
Electronic City Phase II,1090.0,2.0,1.0,2.0,28.34
Hennur Road,2264.0,3.0,1.0,3.0,159.0
Hebbal,1337.0,2.0,1.0,2.0,82.0
Chandapura,1200.0,2.0,2.0,2.0,32.0
Koramangala,1580.0,3.0,2.0,3.0,160.0
Begur Road,1500.0,2.0,3.0,3.0,54.0
Kengeri,1160.0,2.0,2.0,2.0,40.61
7th Phase JP Nagar,1050.0,2.0,1.0,2.0,71.0
Bannerghatta Road,1460.0,2.0,1.0,3.0,90.0
Hulimavu,1823.0,3.0,2.0,3.0,100.0
Electronic City,1094.0,2.0,2.0,2.0,42.0
Budigere,1153.0,2.0,2.0,2.0,57.0
Jakkur,1590.0,2.0,2.0,3.0,125.0
Haralur Road,1202.0,2.0,1.0,2.0,53.0
Panathur,1688.0,3.0,1.0,3.0,118.0
Sarjapur,1185.0,2.0,2.0,2.0,47.0
Ramagondanahalli,1235.0,2.0,1.0,2.0,52.04
Hosakerehalli,3205.0,5.0,1.0,4.0,500.0
Banashankari,1077.0,2.0,2.0,2.0,37.64
Kengeri Satellite Town,1415.0,2.0,3.0,3.0,66.0
Whitefield,805.0,2.0,2.0,2.0,35.0
Whitefield,1155.0,2.0,3.0,2.0,59.95
Anekal,656.0,2.0,1.0,2.0,22.0
Mahadevpura,1150.0,2.0,3.0,2.0,52.0
Whitefield,2280.0,4.0,2.0,3.0,126.0
Hegde Nagar,1341.0,2.0,1.0,2.0,97.0
Jakkur,1279.0,2.0,1.0,2.0,77.0
Electronic City Phase II,2225.0,4.0,0.0,4.0,98.88
Thanisandra,1185.0,2.0,2.0,2.0,43.51
Kudlu,1152.0,2.0,1.0,2.0,53.5
Hulimavu,1300.0,2.0,3.0,2.0,36.0
5th Phase JP Nagar,1070.0,2.0,2.0,2.0,39.0
Uttarahalli,1101.0,2.0,0.0,2.0,45.0
Yeshwanthpur,667.0,1.0,1.0,1.0,36.85
Electronic City,1070.0,2.0,1.0,2.0,55.0
Old Airport Road,1875.0,2.0,2.0,3.0,110.0
Kundalahalli,735.0,2.0,1.0,2.0,57.99
Koramangala,1750.0,3.0,2.0,3.0,130.0
Marathahalli,1215.0,2.0,1.0,2.0,67.0
Whitefield,1650.0,3.0,2.0,3.0,60.0
Jalahalli,1694.0,2.0,2.0,2.0,150.0
Hosakerehalli,2376.0,3.0,1.0,3.0,203.0
Kaggadasapura,1185.0,2.0,1.0,2.0,41.0
HSR Layout,1475.0,3.0,2.0,3.0,75.0
Gottigere,1618.0,3.0,3.0,3.0,82.5
Koramangala,1120.0,2.0,0.0,2.0,65.0
Marathahalli,2181.0,3.0,2.0,4.0,152.0
Bannerghatta Road,1556.0,2.0,1.0,3.0,59.13
Bannerghatta Road,1179.0,2.0,1.0,2.0,66.02
Thanisandra,1296.0,2.0,2.0,2.0,83.0
Kaggadasapura,1275.0,2.0,2.0,2.0,52.0
Gottigere,1222.0,2.0,1.0,2.0,63.0
Electronic City,940.0,2.0,1.0,2.0,41.0
Thanisandra,1185.0,2.0,2.0,2.0,42.6
Tumkur Road,1779.0,3.0,2.0,3.0,112.0
Begur Road,1615.0,3.0,2.0,3.0,59.76
Haralur Road,1056.0,2.0,1.0,2.0,61.0
7th Phase JP Nagar,1100.0,2.0,0.0,2.0,46.0
Kasavanhalli,1717.0,3.0,3.0,3.0,99.0
Bhoganhalli,2119.0,4.0,3.0,4.0,111.0
Vittasandra,1246.0,2.0,1.0,2.0,67.3
Hennur Road,1157.0,2.0,1.0,2.0,84.0
Chandapura,1025.0,2.0,2.0,2.0,27.68
Yelahanka New Town,650.0,1.0,2.0,1.0,33.0
Hebbal,1349.0,2.0,1.0,2.0,98.0
Sahakara Nagar,2830.0,3.0,3.0,4.0,195.0
Electronic City,1320.0,2.0,1.0,3.0,38.13
Varthur,1091.0,2.0,1.0,2.0,34.9
Rachenahalli,3670.0,4.0,3.0,4.0,300.0
7th Phase JP Nagar,918.0,2.0,1.0,2.0,50.49
Panathur,1695.0,3.0,1.0,3.0,90.0
Yelahanka,1705.0,3.0,2.0,3.0,95.0
Kanakpura Road,525.0,1.0,1.0,1.0,30.0
Whitefield,1447.0,2.0,1.0,2.0,83.0
Thanisandra,1114.0,2.0,1.0,2.0,39.0
7th Phase JP Nagar,1450.0,2.0,1.0,3.0,100.0
Hebbal,1000.0,2.0,2.0,2.0,45.0
Electronic City,1128.0,2.0,1.0,2.0,68.75
Kanakpura Road,1180.0,2.0,2.0,2.0,57.0
Nagarbhavi,1200.0,2.0,1.0,2.0,150.0
Kanakpura Road,1339.0,2.0,3.0,2.0,75.0
7th Phase JP Nagar,1040.0,2.0,1.0,2.0,39.52
Kadugodi,1198.0,2.0,2.0,2.0,58.0
Sarjapur  Road,1691.0,3.0,2.0,3.0,113.0
Bisuvanahalli,1075.0,3.0,2.0,3.0,36.0
8th Phase JP Nagar,1240.0,3.0,2.0,3.0,43.5
Bannerghatta Road,1122.5,2.0,0.0,2.0,58.935
Marathahalli,2489.0,3.0,0.0,3.0,94.0
Brookefield,1142.0,2.0,2.0,2.0,70.0
Electronics City Phase 1,1175.0,2.0,2.0,2.0,51.47
Subramanyapura,1200.0,2.0,2.0,2.0,52.0
Kodichikkanahalli,995.0,2.0,1.0,2.0,41.0
Yeshwanthpur,1170.0,2.0,2.0,2.0,57.0
KR Puram,1225.0,2.0,1.0,2.0,46.55
Electronic City,1342.0,2.0,1.0,2.0,73.3
Uttarahalli,1345.0,2.0,1.0,2.0,67.0
Raja Rajeshwari Nagar,1140.0,2.0,1.0,2.0,49.39
Hosa Road,1652.0,3.0,2.0,3.0,85.0
Thigalarapalya,2072.0,4.0,2.0,3.0,142.0
Electronic City,1360.0,2.0,1.0,3.0,71.0
Hosur Road,1145.0,2.0,2.0,3.0,60.0
Uttarahalli,1540.0,2.0,0.0,3.0,40.0
Sarjapur  Road,1278.0,2.0,2.0,2.0,95.0
Electronic City Phase II,630.0,1.0,1.0,1.0,40.0
Kanakpura Road,1100.0,3.0,2.0,3.0,58.0
Chandapura,582.5,1.0,0.0,1.0,15.135
Chandapura,1015.0,2.0,2.0,2.0,25.88
Hosur Road,3300.0,5.0,2.0,5.0,240.0
TC Palaya,1200.0,2.0,0.0,3.0,66.0
Ramamurthy Nagar,1050.0,2.0,0.0,2.0,37.0
