total_sqft,bath,balcony,price,bhk,price_per_sqft,availability_binary,location_encoded
1070.0,2.0,1.0,45.5,2.0,4252.34,1,55.426952153123075
1724.0,3.0,2.0,125.0,3.0,7250.58,1,108.03524574979672
1290.0,2.0,2.0,56.12,3.0,4350.39,1,59.608275814207914
1143.0,2.0,2.0,45.0,2.0,3937.01,1,55.1206475013358
1296.0,2.0,0.0,81.0,2.0,6250.0,1,97.73415939002784
1254.0,3.0,2.0,38.0,3.0,3030.3,0,101.7840148402151
600.0,1.0,0.0,38.0,1.0,6333.33,1,72.36511924926504
660.0,1.0,0.0,48.0,1.0,7272.73,1,75.87632096081032
1330.74,2.0,2.0,91.79,2.0,6897.67,0,70.37033170376974
970.0,2.0,0.0,33.0,2.0,3402.06,1,48.55145469501392
1459.0,2.0,1.0,94.82,2.0,6498.97,0,95.69101734328692
800.0,1.0,1.0,130.0,2.0,16250.0,1,70.81065253468918
869.0,2.0,1.0,36.0,2.0,4142.69,1,78.43663756011136
1270.0,2.0,1.0,50.0,2.0,3937.01,1,81.93663756011136
1670.0,3.0,1.0,99.0,3.0,5928.14,0,97.76951146334261
2010.0,3.0,2.0,91.0,3.0,4527.36,1,95.69101734328692
1185.0,2.0,2.0,75.0,2.0,6329.11,1,96.78837308308835
1600.0,2.0,3.0,75.0,3.0,4687.5,1,75.87632096081032
1200.0,2.0,2.0,44.0,2.0,3666.67,1,57.574958931433876
3210.0,4.0,0.0,192.0,4.0,5981.31,0,75.19735488391329
1500.0,2.0,2.0,185.0,2.0,12333.33,1,199.71831878005568
840.0,2.0,2.0,45.0,2.0,5357.14,1,138.5493100480891
845.0,2.0,1.0,55.0,2.0,6508.88,1,72.36511924926504
1160.0,2.0,2.0,44.0,2.0,3793.1,1,64.06406691530067
3000.0,8.0,0.0,140.0,8.0,4666.67,1,62.38675857829845
1100.0,2.0,1.0,62.0,2.0,5636.36,1,48.55145469501392
1140.0,2.0,3.0,43.0,2.0,3771.93,0,62.936939593351894
1220.0,2.0,1.0,57.0,2.0,4672.13,1,93.08016189171002
1005.0,2.0,1.0,36.68,2.0,3649.75,1,70.37033170376974
500.0,3.0,2.0,100.0,3.0,20000.0,1,94.43663756011136
1358.0,2.0,1.0,80.58,2.0,5933.73,0,57.574958931433876
1569.0,3.0,1.0,101.0,3.0,6437.22,1,140.43547889423215
1240.0,2.0,1.0,70.0,2.0,5645.16,0,79.38011573594717
2089.0,3.0,2.0,140.0,3.0,6701.77,1,96.01278074486788
1206.0,2.0,1.0,48.23,2.0,3999.17,1,54.329022926685234
1150.0,2.0,3.0,40.0,2.0,3478.26,1,75.0762930622346
2511.0,3.0,3.0,205.0,3.0,8164.08,1,103.63850558227172
460.0,1.0,0.0,22.0,2.0,4782.61,1,64.03245870610633
1660.0,2.0,2.0,105.0,3.0,6325.3,1,95.68663756011136
3203.5,4.0,0.0,224.5,4.0,7007.96,0,96.01278074486788
1326.0,2.0,2.0,78.0,2.0,5882.35,0,75.87632096081032
1325.0,2.0,2.0,60.8,3.0,4588.68,1,68.92282751202228
3000.0,7.0,2.0,210.0,6.0,7000.0,1,140.43547889423215
1665.0,3.0,2.0,88.0,3.0,5285.29,1,70.37033170376974
708.0,2.0,2.0,37.0,2.0,5225.99,0,56.641923696865554
1060.0,2.0,2.0,58.06,2.0,5477.36,1,86.65742066987262
1000.0,2.0,2.0,70.0,2.0,7000.0,1,119.08847955638389
1000.0,2.0,1.0,28.88,2.0,2888.0,0,53.808698781325596
1450.0,2.0,2.0,70.0,3.0,4827.59,1,60.749507177206496
1296.0,2.0,3.0,80.0,2.0,6172.84,0,80.00016172672764
1540.0,3.0,2.0,90.0,3.0,5844.16,1,136.69777292668525
2894.0,4.0,1.0,245.0,4.0,8465.79,1,55.985379289149215
1330.0,2.0,1.0,48.0,3.0,3609.02,1,79.28034474949713
1200.0,2.0,1.0,65.0,2.0,5416.67,1,67.19406113782728
1200.0,3.0,1.0,90.0,3.0,7500.0,1,88.43289348871502
2502.0,3.0,3.0,138.0,3.0,5515.59,1,94.65170542458368
650.0,1.0,1.0,17.0,2.0,2615.38,1,33.822739447116064
2400.0,2.0,1.0,150.0,3.0,6250.0,1,83.61849274581364
1007.0,2.0,2.0,43.0,2.0,4270.11,1,57.27465502404455
1200.0,2.0,2.0,50.0,2.0,4166.67,1,108.41628336004949
966.0,2.0,2.0,49.9,2.0,5165.63,1,71.36465502404454
1630.0,2.0,1.0,98.0,3.0,6012.27,1,100.94448273164447
1640.0,3.0,2.0,229.0,3.0,13963.41,1,263.4245377685154
782.0,2.0,2.0,55.68,2.0,7120.2,1,58.31150456731323
1260.0,2.0,2.0,66.78,2.0,5300.0,0,75.19735488391329
1800.0,3.0,3.0,120.0,3.0,6666.67,1,132.5493100480891
1413.0,2.0,2.0,75.0,3.0,5307.86,1,99.17465502404454
1116.0,2.0,1.0,51.91,2.0,4651.43,1,95.69101734328692
1530.0,2.0,1.0,45.9,3.0,3000.0,1,53.808698781325596
3700.0,4.0,1.0,225.0,4.0,6081.08,1,74.2310909875483
2497.0,3.0,2.0,140.0,3.0,5606.73,1,101.7840148402151
1540.0,2.0,3.0,64.0,3.0,4155.84,1,55.985379289149215
1436.0,3.0,1.0,74.75,3.0,5205.43,0,80.00016172672764
1100.0,2.0,2.0,75.0,2.0,6818.18,0,199.94208922040087
1427.0,3.0,2.0,120.0,3.0,8409.25,1,80.00016172672764
2061.0,3.0,1.0,200.0,3.0,9704.03,1,83.08736371355558
2650.0,4.0,2.0,150.0,4.0,5660.38,1,74.69618216003182
1282.0,2.0,2.0,68.52,3.0,5344.77,0,75.19735488391329
1050.0,2.0,1.0,34.0,2.0,3238.1,1,86.45043553264331
1600.0,3.0,2.0,65.0,3.0,4062.5,1,79.33903930288898
945.0,2.0,1.0,54.0,2.0,5714.29,0,79.67465502404454
1500.0,2.0,1.0,78.0,2.0,5200.0,1,65.67934527351953
1870.0,3.0,3.0,110.0,3.0,5882.35,1,71.36465502404454
1600.0,3.0,1.0,75.0,3.0,4687.5,1,88.1052149381876
1535.0,3.0,2.0,83.0,3.0,5407.17,1,82.85491585952305
950.0,2.0,1.0,57.0,2.0,6000.0,1,70.37033170376974
1360.0,2.0,1.0,65.0,2.0,4779.41,0,75.19735488391329
1073.5,2.0,0.0,54.005,2.0,5030.74,0,61.9668310048089
1280.0,3.0,1.0,50.4,3.0,3937.5,0,43.12273393715877
1260.0,2.0,2.0,85.05,3.0,6750.0,0,108.78465502404455
3050.0,5.0,1.0,213.0,5.0,6983.61,0,75.87632096081032
1563.05,3.0,1.0,105.0,3.0,6717.64,1,86.65742066987262
1000.0,2.0,1.0,60.0,2.0,6000.0,1,79.79514093094959
1167.0,2.0,1.0,43.76,2.0,3749.79,0,57.39309108001591
1828.0,3.0,0.0,110.0,3.0,6017.51,1,83.61849274581364
890.0,2.0,1.0,35.0,2.0,3932.58,1,51.13798846770373
1612.0,3.0,3.0,46.74,3.0,2899.5,1,68.21295002671617
957.0,2.0,1.0,58.0,2.0,6060.61,1,90.46269286859264
1250.0,2.0,3.0,44.0,3.0,3520.0,0,65.14455527581292
2795.0,4.0,0.0,235.0,3.0,8407.87,1,162.9577583734076
1125.0,2.0,2.0,50.0,2.0,4444.44,1,81.07197041307032
1020.0,2.0,1.0,30.6,2.0,3000.0,0,45.86169179875348
1200.0,2.0,2.0,50.0,2.0,4166.67,1,75.0762930622346
1735.0,3.0,3.0,135.0,3.0,7780.98,1,80.00016172672764
2050.0,3.0,1.0,145.0,3.0,7073.17,1,80.00016172672764
3750.0,4.0,0.0,760.0,4.0,20266.67,1,163.97465502404455
1350.0,2.0,3.0,48.0,3.0,3555.56,1,73.1693100480891
1063.0,2.0,1.0,32.0,2.0,3010.35,0,70.43529520877323
1904.0,3.0,1.0,150.0,3.0,7878.15,1,128.77465502404453
2000.0,3.0,1.0,175.0,3.0,8750.0,1,93.96831878005568
1242.5,2.0,0.0,43.49,2.0,3500.2,0,88.1052149381876
1425.0,2.0,2.0,75.0,3.0,5263.16,1,71.27465502404455
1500.0,2.0,1.0,64.5,3.0,4300.0,1,53.808698781325596
1060.0,2.0,1.0,60.0,2.0,5660.38,1,53.808698781325596
1470.0,2.0,2.0,70.0,3.0,4761.9,1,80.5493100480891
1152.0,2.0,1.0,64.5,2.0,5598.96,0,53.808698781325596
1350.0,2.0,1.0,56.0,3.0,4148.15,1,53.808698781325596
1550.0,3.0,3.0,65.0,3.0,4193.55,1,72.84898954047549
1500.0,3.0,2.0,100.0,3.0,6666.67,1,110.67087106528662
600.0,3.0,2.0,85.0,5.0,14166.67,1,121.04794424001715
400.0,1.0,0.0,14.0,1.0,3500.0,1,109.26087106528662
705.0,1.0,2.0,67.0,1.0,9503.55,1,199.94208922040087
770.0,1.0,1.0,36.0,2.0,4675.32,1,53.808698781325596
1242.0,2.0,3.0,51.0,2.0,4106.28,1,81.07197041307032
1700.0,3.0,2.0,155.0,3.0,9117.65,1,185.1356157211556
2144.0,3.0,2.0,145.0,3.0,6763.06,1,80.00016172672764
1704.0,3.0,2.0,110.0,3.0,6455.4,0,100.88191375601113
1070.0,2.0,1.0,52.0,2.0,4859.81,1,53.808698781325596
1846.0,3.0,2.0,300.0,3.0,16251.35,1,210.36732751202226
1340.0,2.0,2.0,55.7,2.0,4156.72,1,70.68081878005569
1025.0,2.0,1.0,46.0,2.0,4487.8,1,53.808698781325596
1277.5,2.0,0.0,56.8,2.0,4446.18,1,70.81065253468918
1200.0,2.0,2.0,52.0,2.0,4333.33,1,93.08016189171002
2250.0,4.0,1.0,110.0,4.0,4888.89,0,70.37033170376974
1550.0,2.0,3.0,80.0,3.0,5161.29,1,67.38546787431753
1200.0,2.0,2.0,60.0,2.0,5000.0,1,93.08016189171002
1327.0,2.0,2.0,98.0,2.0,7385.08,1,75.87632096081032
1186.0,2.0,2.0,58.0,2.0,4890.39,1,83.61849274581364
1783.0,3.0,1.0,115.0,3.0,6449.8,1,123.19406113782728
1400.0,3.0,2.0,56.0,3.0,4000.0,1,86.66820288923934
980.0,2.0,1.0,48.0,2.0,4897.96,1,95.74961669338283
1285.0,2.0,2.0,82.0,2.0,6381.32,1,131.10346200961783
912.0,2.0,1.0,70.0,3.0,7675.44,1,110.45775837340757
1225.0,2.0,2.0,47.6,2.0,3885.71,1,95.69101734328692
1075.0,2.0,1.0,53.0,2.0,4930.23,1,95.69101734328692
1260.0,2.0,2.0,54.0,3.0,4285.71,1,86.45043553264331
1282.0,2.0,2.0,48.7,3.0,3798.75,1,75.87632096081032
1909.0,3.0,2.0,88.0,3.0,4609.74,1,77.85706200961783
1359.0,2.0,1.0,87.0,2.0,6401.77,1,75.09530648593417
1207.0,2.0,2.0,43.5,2.0,3603.98,1,68.4637928914922
2850.0,4.0,1.0,428.0,4.0,15017.54,0,204.91046787431756
1595.0,3.0,2.0,65.0,3.0,4075.24,1,45.25866200961782
1798.0,3.0,2.0,89.0,3.0,4949.94,0,117.30517224893839
1475.0,3.0,2.0,78.29,3.0,5307.8,1,55.426952153123075
1580.0,3.0,3.0,100.0,3.0,6329.11,1,91.67807860577793
1295.0,2.0,1.0,65.0,2.0,5019.31,1,88.43289348871502
3600.0,6.0,0.0,141.0,6.0,3916.67,1,64.10048126001855
589.0,1.0,1.0,27.0,1.0,4584.04,1,53.808698781325596
1415.0,3.0,3.0,78.0,3.0,5512.37,1,158.9577583734076
1787.0,3.0,2.0,98.29,3.0,5500.28,0,101.7840148402151
1787.0,3.0,2.0,125.0,3.0,6994.96,1,101.7840148402151
1475.0,2.0,3.0,90.0,3.0,6101.69,1,164.2954708991111
2000.0,4.0,1.0,75.5,4.0,3775.0,1,88.31163756011136
984.0,2.0,1.0,44.28,2.0,4500.0,0,101.7840148402151
1630.0,3.0,0.0,74.82,3.0,4590.18,0,75.19735488391329
2405.0,4.0,2.0,260.0,3.0,10810.81,1,179.5493100480891
1080.0,2.0,2.0,72.0,2.0,6666.67,1,94.17701069131341
1500.0,2.0,1.0,115.0,2.0,7666.67,1,108.41628336004949
1900.0,3.0,2.0,119.0,3.0,6263.16,1,134.88880586568177
805.0,2.0,1.0,22.14,2.0,2750.31,0,52.37243668269637
1153.0,2.0,2.0,56.4,2.0,4891.59,1,69.0858783064235
1148.0,2.0,2.0,60.0,2.0,5226.48,1,89.20423184004049
1110.0,2.0,2.0,55.0,2.0,4954.95,1,75.62442504007424
1100.0,2.0,2.0,42.0,2.0,3818.18,1,53.808698781325596
1290.0,2.0,2.0,110.0,2.0,8527.13,1,108.76232751202228
1500.0,2.0,1.0,65.0,3.0,4333.33,1,79.3493100480891
1080.0,2.0,2.0,39.0,2.0,3611.11,0,141.3051722489384
1933.0,3.0,1.0,129.0,3.0,6673.56,0,100.88191375601113
3500.0,5.0,2.0,150.0,5.0,4285.71,1,74.2310909875483
1060.0,2.0,2.0,60.0,2.0,5660.38,1,80.5493100480891
645.0,1.0,1.0,16.45,1.0,2550.39,0,33.822739447116064
2600.0,8.0,2.0,180.0,8.0,6923.08,1,114.43663756011136
645.0,1.0,1.0,16.45,1.0,2550.39,0,33.822739447116064
1644.0,3.0,3.0,84.0,3.0,5109.49,1,102.42165939002784
1285.0,2.0,3.0,72.5,2.0,5642.02,1,87.56163756011136
1200.0,3.0,1.0,90.0,3.0,7500.0,1,53.808698781325596
910.0,2.0,1.0,40.0,2.0,4395.6,1,53.808698781325596
1577.0,3.0,1.0,70.0,3.0,4438.81,1,83.61849274581364
2420.0,3.0,2.0,185.0,3.0,7644.63,1,123.32876580212871
1060.0,2.0,2.0,55.0,2.0,5188.68,1,137.77465502404453
1270.0,2.0,2.0,93.0,2.0,7322.83,1,94.17701069131341
1280.0,2.0,1.0,69.0,2.0,5390.62,1,97.41628336004949
1200.0,2.0,0.0,95.0,4.0,7916.67,1,54.42201279628943
1025.0,2.0,2.0,36.0,2.0,3512.2,1,101.7840148402151
1108.0,2.0,1.0,63.0,2.0,5685.92,0,53.808698781325596
3045.0,3.0,2.0,170.0,3.0,5582.92,1,98.95775837340757
2900.0,3.0,2.0,300.0,4.0,10344.83,1,165.8450738209736
1500.0,3.0,2.0,75.5,3.0,5033.33,1,100.88191375601113
1295.0,2.0,2.0,43.9,2.0,3389.96,1,59.404509119061444
1162.0,2.0,1.0,59.9,2.0,5154.91,1,69.0858783064235
1035.0,2.0,2.0,49.2,2.0,4753.62,1,101.7840148402151
1464.0,3.0,2.0,46.0,3.0,3142.08,1,64.31221252003712
1866.0,2.0,2.0,61.58,3.0,3300.11,0,96.01278074486788
700.0,1.0,1.0,26.0,2.0,3714.29,1,65.14931004808909
1804.0,3.0,2.0,120.0,3.0,6651.88,1,75.0762930622346
913.0,2.0,1.0,32.0,2.0,3504.93,1,88.1052149381876
1868.0,3.0,2.0,131.0,3.0,7012.85,0,109.03162317659624
883.0,2.0,1.0,45.0,2.0,5096.26,1,51.13798846770373
900.0,2.0,1.0,110.0,2.0,12222.22,1,96.93663756011136
1664.0,2.0,3.0,73.95,3.0,4444.11,1,77.85706200961783
2026.0,3.0,2.0,132.0,3.0,6515.3,1,140.43547889423215
1210.0,2.0,1.0,80.9,2.0,6685.95,1,62.87065729667595
1762.0,3.0,3.0,91.45,3.0,5190.12,1,86.45043553264331
1252.0,3.0,3.0,55.0,3.0,4392.97,1,71.44012843608716
861.0,2.0,1.0,34.5,2.0,4006.97,1,59.17165939002784
1420.0,2.0,1.0,100.0,3.0,7042.25,1,94.17701069131341
1490.0,3.0,1.0,78.8,3.0,5288.59,1,55.426952153123075
1075.0,2.0,1.0,46.0,3.0,4279.07,1,44.55049167111935
1425.0,2.0,2.0,94.0,3.0,6596.49,0,104.97864565565862
1200.0,2.0,1.0,40.0,2.0,3333.33,1,75.0762930622346
1280.0,2.0,2.0,56.0,3.0,4375.0,1,62.68576940657381
1084.0,2.0,2.0,50.0,2.0,4612.55,1,78.53522146292077
1015.0,2.0,2.0,25.88,2.0,2549.75,0,33.822739447116064
1017.0,2.0,1.0,51.25,2.0,5039.33,0,70.37033170376974
1027.0,2.0,2.0,44.0,2.0,4284.32,1,79.38011573594717
1069.0,2.0,2.0,45.0,2.0,4209.54,1,45.86169179875348
1349.0,2.0,1.0,98.2,2.0,7279.47,1,134.88880586568177
1005.0,2.0,1.0,50.0,2.0,4975.12,1,70.6715283848769
1417.0,2.0,3.0,75.0,2.0,5292.87,1,114.59081956870212
1475.0,3.0,1.0,98.0,3.0,6644.07,0,74.03160278223048
950.0,2.0,2.0,47.0,2.0,4947.37,1,101.71831878005568
2000.0,4.0,0.0,120.0,4.0,6000.0,1,135.24950717720648
880.0,3.0,1.0,140.0,3.0,15909.09,1,217.44204232618813
1863.0,3.0,2.0,104.0,4.0,5582.39,1,101.7840148402151
1010.0,2.0,1.0,29.5,2.0,2920.79,1,69.0088053657302
1425.0,2.0,1.0,70.0,3.0,4912.28,1,75.0762930622346
1450.0,3.0,0.0,100.0,3.0,6896.55,1,100.88191375601113
1847.0,3.0,2.0,105.0,3.0,5684.89,1,83.61849274581364
1100.0,2.0,3.0,45.0,2.0,4090.91,1,68.08843668269637
525.0,1.0,1.0,26.0,1.0,4952.38,0,70.37033170376974
1665.0,3.0,2.0,95.0,3.0,5705.71,1,74.44929211791818
1850.0,3.0,3.0,150.0,3.0,8108.11,1,103.5879022763704
1438.0,2.0,3.0,100.0,2.0,6954.1,1,75.09530648593417
1560.0,3.0,3.0,115.0,3.0,7371.79,1,91.95775837340757
1350.0,2.0,1.0,55.55,2.0,4114.81,0,75.87632096081032
1550.0,3.0,3.0,67.0,3.0,4322.58,1,70.37033170376974
1140.0,2.0,2.0,46.5,2.0,4078.95,0,81.93032751202227
850.0,2.0,2.0,27.0,2.0,3176.47,0,58.720935748635064
1280.0,2.0,2.0,75.0,2.0,5859.38,1,95.69101734328692
1170.0,2.0,2.0,52.0,2.0,4444.44,1,66.63382751202228
1113.0,2.0,1.0,51.0,2.0,4582.21,1,67.89072780449393
1385.0,2.0,1.0,83.09,2.0,5999.28,1,96.01278074486788
1128.0,2.0,1.0,65.0,2.0,5762.41,0,53.808698781325596
1200.0,2.0,2.0,128.0,2.0,10666.67,1,93.08016189171002
2390.0,3.0,2.0,415.0,3.0,17364.02,1,263.4245377685154
2400.0,4.0,1.0,400.0,4.0,16666.67,1,217.44204232618813
1464.0,3.0,2.0,56.0,3.0,3825.14,1,79.38011573594717
1200.0,2.0,2.0,55.0,2.0,4583.33,1,82.39554585337045
1200.0,2.0,2.0,52.0,2.0,4333.33,1,64.03245870610633
1150.0,2.0,1.0,55.0,3.0,4782.61,1,73.87484319274752
1645.0,3.0,2.0,95.0,3.0,5775.08,1,92.17807860577793
1000.0,2.0,1.0,67.0,2.0,6700.0,0,101.7840148402151
2650.0,4.0,2.0,198.0,4.0,7471.7,1,79.38011573594717
1192.0,2.0,2.0,74.0,2.0,6208.05,1,101.73527292668523
2135.0,3.0,2.0,215.0,3.0,10070.26,1,144.53732751202227
1173.0,2.0,1.0,58.0,2.0,4944.59,0,95.69101734328692
1020.0,2.0,2.0,45.0,2.0,4411.76,1,55.1206475013358
3122.0,6.0,2.0,230.0,4.0,7367.07,1,142.63180593627874
1600.0,3.0,3.0,64.0,3.0,4000.0,1,76.93053387872403
1200.0,2.0,0.0,79.0,2.0,6583.33,0,82.79109170674091
1230.0,2.0,3.0,48.0,2.0,3902.44,1,78.3493100480891
1250.0,2.0,2.0,40.0,2.0,3200.0,1,65.14455527581292
1325.0,2.0,2.0,76.0,2.0,5735.85,1,75.0762930622346
1850.0,3.0,1.0,150.0,3.0,8108.11,1,94.17701069131341
525.0,1.0,0.0,21.53,1.0,4100.95,0,70.37033170376974
1200.0,2.0,2.0,65.0,2.0,5416.67,1,170.17840715430694
1350.0,2.0,0.0,140.0,3.0,10370.37,1,104.43663756011136
1260.0,3.0,1.0,49.36,3.0,3917.46,0,49.56936622271474
1800.0,3.0,0.0,150.0,3.0,8333.33,1,106.93663756011136
1100.0,2.0,1.0,43.25,2.0,3931.82,1,118.1921750092479
1508.0,2.0,1.0,77.0,2.0,5106.1,1,105.70767785114487
1592.0,3.0,2.0,75.0,3.0,4711.06,1,82.74931004808909
1388.0,2.0,3.0,57.0,2.0,4106.63,1,83.08736371355558
630.0,1.0,1.0,28.35,1.0,4500.0,0,45.86169179875348
2000.0,3.0,2.0,365.0,3.0,18250.0,1,227.9577583734076
1762.0,3.0,1.0,125.0,3.0,7094.21,1,100.68663756011136
950.0,2.0,2.0,50.0,2.0,5263.16,0,116.62442504007424
3252.0,5.0,3.0,335.0,4.0,10301.35,1,299.86744413179093
1116.0,2.0,1.0,50.0,2.0,4480.29,0,64.10048126001855
1308.0,2.0,2.0,89.04,2.0,6807.34,1,89.11920883767326
1200.0,3.0,0.0,90.0,3.0,7500.0,1,123.19406113782728
500.0,1.0,1.0,18.5,1.0,3700.0,1,80.32281452865166
1075.0,2.0,1.0,52.0,2.0,4837.21,1,73.94554396966286
1205.0,2.0,3.0,66.0,2.0,5477.18,1,86.93027656500465
1075.0,2.0,2.0,60.0,2.0,5581.4,1,71.11206892541745
930.0,2.0,2.0,39.0,2.0,4193.55,1,70.81065253468918
1380.0,2.0,1.0,60.0,2.0,4347.83,1,62.87065729667595
2483.0,5.0,2.0,212.0,4.0,8538.06,1,134.88880586568177
1166.0,2.0,2.0,55.0,2.0,4716.98,1,79.78310334936303
1050.0,2.0,1.0,65.0,2.0,6190.48,1,80.32281452865166
2023.71,3.0,2.0,275.0,3.0,13588.9,0,247.30517224893842
1200.0,2.0,2.0,46.8,2.0,3900.0,1,57.574958931433876
1600.0,2.0,1.0,108.0,3.0,6750.0,1,96.78837308308835
1935.0,3.0,2.0,110.0,3.0,5684.75,1,94.84282751202228
451.0,1.0,0.0,29.9,1.0,6629.71,0,61.9668310048089
1800.0,3.0,2.0,95.0,3.0,5277.78,1,53.808698781325596
1400.0,3.0,0.0,77.0,3.0,5500.0,0,92.57383100480891
1801.0,3.0,2.0,115.0,3.0,6385.34,1,140.43547889423215
1451.0,2.0,0.0,90.0,2.0,6202.62,1,77.38636912471897
1200.0,1.0,1.0,36.0,2.0,3000.0,0,40.651225006327515
1160.0,2.0,2.0,44.0,2.0,3793.1,1,57.574958931433876
950.0,2.0,1.0,40.0,2.0,4210.53,1,70.37033170376974
1629.0,3.0,2.0,79.0,3.0,4849.6,0,70.96465502404455
1580.0,2.0,0.0,134.0,3.0,8481.01,1,100.88191375601113
1826.0,3.0,2.0,121.0,3.0,6626.51,0,100.88191375601113
1245.0,2.0,1.0,94.0,2.0,7550.2,1,94.17701069131341
1145.0,2.0,2.0,45.79,2.0,3999.13,1,59.404509119061444
825.0,2.0,1.0,33.0,2.0,4000.0,1,55.78310334936303
1693.0,3.0,3.0,108.0,3.0,6379.21,0,94.65170542458368
1113.27,2.0,2.0,53.0,2.0,4760.75,1,55.426952153123075
1460.0,2.0,1.0,58.0,2.0,3972.6,1,71.5273944711606
1050.0,2.0,1.0,32.0,2.0,3047.62,1,48.55145469501392
1260.0,2.0,2.0,55.0,2.0,4365.08,1,103.94828514163368
700.0,3.0,0.0,120.0,6.0,17142.86,1,99.43663756011136
1656.0,2.0,1.0,120.0,2.0,7246.38,1,95.04564388245807
1208.0,3.0,1.0,45.0,3.0,3725.17,1,33.822739447116064
1910.0,3.0,2.0,161.0,3.0,8429.32,1,95.69101734328692
3252.0,4.0,1.0,230.0,4.0,7072.57,1,95.69101734328692
1200.0,2.0,1.0,65.0,2.0,5416.67,1,74.94061297186835
1175.0,2.0,1.0,82.0,2.0,6978.72,1,94.17701069131341
1000.0,2.0,0.0,165.0,2.0,16500.0,1,80.47465502404455
1200.0,2.0,0.0,125.0,4.0,10416.67,1,80.32281452865166
2390.0,3.0,2.0,410.0,3.0,17154.81,1,263.4245377685154
550.0,1.0,1.0,62.0,2.0,11272.73,1,75.2676107314604
370.92,1.0,0.0,18.5,1.0,4987.6,1,55.985379289149215
1185.0,2.0,0.0,38.0,2.0,3206.75,1,64.62442504007424
750.0,2.0,1.0,38.0,2.0,5066.67,1,55.985379289149215
1550.0,3.0,3.0,64.5,3.0,4161.29,1,70.37033170376974
1760.0,3.0,2.0,88.0,3.0,5000.0,1,91.43663756011136
1125.0,2.0,2.0,62.0,2.0,5511.11,1,94.84282751202228
1350.0,3.0,2.0,150.0,3.0,11111.11,1,100.94448273164447
1000.0,2.0,1.0,55.0,2.0,5500.0,0,57.39309108001591
1090.0,2.0,2.0,31.48,2.0,2888.07,0,43.12273393715877
1200.0,2.0,0.0,60.0,2.0,5000.0,1,74.03160278223048
1105.0,2.0,1.0,75.0,2.0,6787.33,1,108.21647286401273
985.0,2.0,2.0,67.0,2.0,6802.03,1,89.34444310621203
1590.0,3.0,2.0,79.0,3.0,4968.55,0,62.87065729667595
1120.0,2.0,2.0,55.0,2.0,4910.71,1,72.84898954047549
1069.0,2.0,1.0,55.0,2.0,5145.0,1,63.4162833600495
1933.0,3.0,2.0,140.0,3.0,7242.63,1,93.08016189171002
1194.0,2.0,0.0,69.0,2.0,5778.89,0,95.04564388245807
1150.0,2.0,3.0,69.0,2.0,6000.0,1,114.03716064341374
1240.0,2.0,2.0,47.12,2.0,3800.0,1,58.63353439002784
1419.0,2.0,2.0,48.1,2.0,3389.71,1,59.404509119061444
