location,total_sqft,bath,balcony,bhk,price,price_per_square_foot
Doddathoguru,1100.0,2.0,1.0,2.0,62.0,0.056363636363636366
Marathahalli,1220.0,2.0,1.0,2.0,57.0,0.04672131147540984
Kanakpura Road,1005.0,2.0,1.0,2.0,36.68,0.03649751243781094
Begur Road,1358.0,2.0,1.0,2.0,80.58,0.05933726067746686
Hegde Nagar,1569.0,3.0,1.0,3.0,101.0,0.06437221159974506
Haralur Road,1240.0,2.0,1.0,2.0,70.0,0.056451612903225805
Hennur Road,2089.0,3.0,2.0,3.0,140.0,0.06701771182383916
Kalena Agrahara,1150.0,2.0,3.0,2.0,40.0,0.034782608695652174
Hennur Road,3203.5,4.0,0.0,4.0,224.5,0.07007960043702201
Yelahanka,1326.0,2.0,2.0,2.0,78.0,0.058823529411764705
Hegde Nagar,3000.0,7.0,2.0,6.0,210.0,0.07
Kanakpura Road,1665.0,3.0,2.0,3.0,88.0,0.05285285285285285
Kasavanhalli,1060.0,2.0,2.0,2.0,58.06,0.05477358490566038
Electronic City,1000.0,2.0,1.0,2.0,28.88,0.02888
Thanisandra,1296.0,2.0,3.0,2.0,80.0,0.06172839506172839
Kengeri,2894.0,4.0,1.0,4.0,245.0,0.08465791292328956
Yeshwanthpur,2502.0,3.0,3.0,3.0,138.0,0.05515587529976019
Chandapura,650.0,1.0,1.0,2.0,17.0,0.026153846153846153
Kothanur,2400.0,2.0,1.0,3.0,150.0,0.0625
Nagarbhavi,1630.0,2.0,1.0,3.0,98.0,0.06012269938650307
Rajaji Nagar,1640.0,3.0,2.0,3.0,229.0,0.13963414634146343
Devanahalli,1260.0,2.0,2.0,2.0,66.78,0.053
Whitefield,1116.0,2.0,1.0,2.0,51.91,0.046514336917562724
Electronic City,1530.0,2.0,1.0,3.0,45.9,0.03
Ramamurthy Nagar,3700.0,4.0,1.0,4.0,225.0,0.060810810810810814
Sarjapur  Road,2497.0,3.0,2.0,3.0,140.0,0.05606728073688426
Kengeri,1540.0,2.0,3.0,3.0,64.0,0.04155844155844156
Thanisandra,1436.0,3.0,1.0,3.0,74.75,0.052054317548746516
Malleshwaram,1100.0,2.0,2.0,2.0,75.0,0.06818181818181818
Thanisandra,1427.0,3.0,2.0,3.0,120.0,0.08409250175192712
Akshaya Nagar,2061.0,3.0,1.0,3.0,200.0,0.09704027171276079
Devanahalli,1282.0,2.0,2.0,3.0,68.52,0.05344773790951638
Kadugodi,1050.0,2.0,1.0,2.0,34.0,0.03238095238095238
Hormavu,1500.0,2.0,1.0,2.0,78.0,0.052
Sarjapur,1600.0,3.0,1.0,3.0,75.0,0.046875
Kudlu Gate,1535.0,3.0,2.0,3.0,83.0,0.054071661237785014
Kanakpura Road,950.0,2.0,1.0,2.0,57.0,0.06
Devanahalli,1360.0,2.0,1.0,2.0,65.0,0.04779411764705882
8th Phase JP Nagar,1073.5,2.0,0.0,2.0,54.005,0.05030740568234746
Yelahanka,3050.0,5.0,1.0,5.0,213.0,0.06983606557377049
Kasavanhalli,1563.05,3.0,1.0,3.0,105.0,0.06717635392341896
Kothanur,1828.0,3.0,0.0,3.0,110.0,0.060175054704595186
Kengeri Satellite Town,890.0,2.0,1.0,2.0,35.0,0.03932584269662921
Hulimavu,1125.0,2.0,2.0,2.0,50.0,0.044444444444444446
Electronic City Phase II,1020.0,2.0,1.0,2.0,30.6,0.030000000000000002
Kalena Agrahara,1200.0,2.0,2.0,2.0,50.0,0.041666666666666664
Thanisandra,1735.0,3.0,3.0,3.0,135.0,0.07780979827089338
Thanisandra,2050.0,3.0,1.0,3.0,145.0,0.07073170731707316
Hosa Road,1063.0,2.0,1.0,2.0,32.0,0.030103480714957668
Sarjapur,1242.5,2.0,0.0,2.0,43.49,0.035002012072434606
Electronic City,1500.0,2.0,1.0,3.0,64.5,0.043
Electronic City,1060.0,2.0,1.0,2.0,60.0,0.05660377358490566
Electronic City,1152.0,2.0,1.0,2.0,64.5,0.055989583333333336
Electronic City,1350.0,2.0,1.0,3.0,56.0,0.04148148148148148
CV Raman Nagar,1550.0,3.0,3.0,3.0,65.0,0.041935483870967745
Malleshwaram,705.0,1.0,2.0,1.0,67.0,0.0950354609929078
Electronic City,770.0,1.0,1.0,2.0,36.0,0.046753246753246755
Hulimavu,1242.0,2.0,3.0,2.0,51.0,0.04106280193236715
Hebbal Kempapura,1700.0,3.0,2.0,3.0,155.0,0.09117647058823529
Thanisandra,2144.0,3.0,2.0,3.0,145.0,0.06763059701492537
Vijayanagar,1704.0,3.0,2.0,3.0,110.0,0.06455399061032864
Electronic City,1070.0,2.0,1.0,2.0,52.0,0.048598130841121495
Electronic City,1025.0,2.0,1.0,2.0,46.0,0.0448780487804878
KR Puram,1277.5,2.0,0.0,2.0,56.8,0.04446183953033268
Marathahalli,1200.0,2.0,2.0,2.0,52.0,0.043333333333333335
Kanakpura Road,2250.0,4.0,1.0,4.0,110.0,0.04888888888888889
Marathahalli,1200.0,2.0,2.0,2.0,60.0,0.05
Yelahanka,1327.0,2.0,2.0,2.0,98.0,0.07385079125847777
Kothanur,1186.0,2.0,2.0,2.0,58.0,0.048903878583473864
HSR Layout,1400.0,3.0,2.0,3.0,56.0,0.04
Whitefield,1225.0,2.0,2.0,2.0,47.6,0.03885714285714286
Whitefield,1075.0,2.0,1.0,2.0,53.0,0.04930232558139535
Kadugodi,1260.0,2.0,2.0,3.0,54.0,0.04285714285714286
Yelahanka,1282.0,2.0,2.0,3.0,48.7,0.03798751950078003
Panathur,1359.0,2.0,1.0,2.0,87.0,0.0640176600441501
Electronics City Phase 1,1475.0,3.0,2.0,3.0,78.29,0.05307796610169492
Electronic City,589.0,1.0,1.0,1.0,27.0,0.04584040747028863
Sarjapur  Road,1787.0,3.0,2.0,3.0,98.29,0.05500279798545048
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0,0.06994963626189143
Koramangala,1475.0,2.0,3.0,3.0,90.0,0.061016949152542375
Sarjapur  Road,984.0,2.0,1.0,2.0,44.28,0.045
Devanahalli,1630.0,3.0,0.0,3.0,74.82,0.04590184049079754
7th Phase JP Nagar,1080.0,2.0,2.0,2.0,72.0,0.06666666666666667
Hebbal,1900.0,3.0,2.0,3.0,119.0,0.06263157894736843
Budigere,1153.0,2.0,2.0,2.0,56.4,0.04891587163920208
Electronic City,1100.0,2.0,2.0,2.0,42.0,0.038181818181818185
Vijayanagar,1933.0,3.0,1.0,3.0,129.0,0.06673564407656493
Ramamurthy Nagar,3500.0,5.0,2.0,5.0,150.0,0.04285714285714286
Chandapura,645.0,1.0,1.0,1.0,16.45,0.025503875968992246
Chandapura,645.0,1.0,1.0,1.0,16.45,0.025503875968992246
Electronic City,1200.0,3.0,1.0,3.0,90.0,0.075
Electronic City,910.0,2.0,1.0,2.0,40.0,0.04395604395604396
Kothanur,1577.0,3.0,1.0,3.0,70.0,0.04438807863031072
7th Phase JP Nagar,1270.0,2.0,2.0,2.0,93.0,0.07322834645669292
Horamavu Agara,1200.0,2.0,0.0,4.0,95.0,0.07916666666666666
Sarjapur  Road,1025.0,2.0,2.0,2.0,36.0,0.0351219512195122
Electronic City,1108.0,2.0,1.0,2.0,63.0,0.05685920577617329
Vijayanagar,1500.0,3.0,2.0,3.0,75.5,0.050333333333333334
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,43.9,0.0338996138996139
Budigere,1162.0,2.0,1.0,2.0,59.9,0.05154905335628227
Sarjapur  Road,1035.0,2.0,2.0,2.0,49.2,0.04753623188405797
Hennur Road,1866.0,2.0,2.0,3.0,61.58,0.0330010718113612
Kalena Agrahara,1804.0,3.0,2.0,3.0,120.0,0.06651884700665188
Sarjapur,913.0,2.0,1.0,2.0,32.0,0.03504928806133625
Talaghattapura,1868.0,3.0,2.0,3.0,131.0,0.07012847965738758
Kengeri Satellite Town,883.0,2.0,1.0,2.0,45.0,0.05096262740656852
Hegde Nagar,2026.0,3.0,2.0,3.0,132.0,0.06515301085883514
Balagere,1210.0,2.0,1.0,2.0,80.9,0.0668595041322314
Kadugodi,1762.0,3.0,3.0,3.0,91.45,0.05190124858115778
Jigani,1252.0,3.0,3.0,3.0,55.0,0.0439297124600639
7th Phase JP Nagar,1420.0,2.0,1.0,3.0,100.0,0.07042253521126761
Electronics City Phase 1,1490.0,3.0,1.0,3.0,78.8,0.05288590604026845
Bisuvanahalli,1075.0,2.0,1.0,3.0,46.0,0.04279069767441861
Old Madras Road,1425.0,2.0,2.0,3.0,94.0,0.06596491228070175
Kalena Agrahara,1200.0,2.0,1.0,2.0,40.0,0.03333333333333333
Kaggadasapura,1280.0,2.0,2.0,3.0,56.0,0.04375
Chandapura,1015.0,2.0,2.0,2.0,25.88,0.025497536945812808
Kanakpura Road,1017.0,2.0,1.0,2.0,51.25,0.05039331366764995
Haralur Road,1027.0,2.0,2.0,2.0,44.0,0.042843232716650435
Electronic City Phase II,1069.0,2.0,2.0,2.0,45.0,0.042095416276894296
Hebbal,1349.0,2.0,1.0,2.0,98.2,0.07279466271312084
9th Phase JP Nagar,1005.0,2.0,1.0,2.0,50.0,0.04975124378109453
Jakkur,1417.0,2.0,3.0,2.0,75.0,0.0529287226534933
TC Palaya,1475.0,3.0,1.0,3.0,98.0,0.06644067796610169
Sarjapur  Road,1863.0,3.0,2.0,4.0,104.0,0.055823939881910895
Kalena Agrahara,1425.0,2.0,1.0,3.0,70.0,0.04912280701754386
Vijayanagar,1450.0,3.0,0.0,3.0,100.0,0.06896551724137931
Kothanur,1847.0,3.0,2.0,3.0,105.0,0.0568489442338928
Kanakpura Road,525.0,1.0,1.0,1.0,26.0,0.049523809523809526
JP Nagar,1850.0,3.0,3.0,3.0,150.0,0.08108108108108109
Panathur,1438.0,2.0,3.0,2.0,100.0,0.06954102920723226
Yelahanka,1350.0,2.0,1.0,2.0,55.55,0.04114814814814815
Kanakpura Road,1550.0,3.0,3.0,3.0,67.0,0.043225806451612905
Whitefield,1280.0,2.0,2.0,2.0,75.0,0.05859375
Hennur Road,1385.0,2.0,1.0,2.0,83.09,0.059992779783393506
Electronic City,1128.0,2.0,1.0,2.0,65.0,0.057624113475177305
Marathahalli,1200.0,2.0,2.0,2.0,128.0,0.10666666666666667
Rajaji Nagar,2390.0,3.0,2.0,3.0,415.0,0.17364016736401675
Haralur Road,1464.0,3.0,2.0,3.0,56.0,0.03825136612021858
Sarjapur  Road,1000.0,2.0,1.0,2.0,67.0,0.067
Haralur Road,2650.0,4.0,2.0,4.0,198.0,0.07471698113207548
Whitefield,1173.0,2.0,1.0,2.0,58.0,0.0494458653026428
Uttarahalli,1020.0,2.0,2.0,2.0,45.0,0.04411764705882353
Thigalarapalya,3122.0,6.0,2.0,4.0,230.0,0.07367072389493914
Somasundara Palya,1600.0,3.0,3.0,3.0,64.0,0.04
Kalena Agrahara,1325.0,2.0,2.0,2.0,76.0,0.057358490566037736
7th Phase JP Nagar,1850.0,3.0,1.0,3.0,150.0,0.08108108108108109
Kanakpura Road,525.0,1.0,0.0,1.0,21.53,0.041009523809523815
Bommasandra,1260.0,3.0,1.0,3.0,49.36,0.039174603174603174
Harlur,1508.0,2.0,1.0,2.0,77.0,0.05106100795755968
Akshaya Nagar,1388.0,2.0,3.0,2.0,57.0,0.04106628242074928
Electronic City Phase II,630.0,1.0,1.0,1.0,28.35,0.045000000000000005
Bannerghatta Road,500.0,1.0,1.0,1.0,18.5,0.037
Hennur,1075.0,2.0,1.0,2.0,52.0,0.04837209302325581
Bellandur,1205.0,2.0,3.0,2.0,66.0,0.054771784232365145
5th Phase JP Nagar,1075.0,2.0,2.0,2.0,60.0,0.05581395348837209
KR Puram,930.0,2.0,2.0,2.0,39.0,0.041935483870967745
Balagere,1380.0,2.0,1.0,2.0,60.0,0.043478260869565216
Hebbal,2483.0,5.0,2.0,4.0,212.0,0.08538058799838905
Bannerghatta Road,1050.0,2.0,1.0,2.0,65.0,0.06190476190476191
Begur Road,1200.0,2.0,2.0,2.0,46.8,0.039
Lakshminarayana Pura,1600.0,2.0,1.0,3.0,108.0,0.0675
8th Phase JP Nagar,451.0,1.0,0.0,1.0,29.9,0.06629711751662971
Electronic City,1800.0,3.0,2.0,3.0,95.0,0.05277777777777778
Jalahalli,1400.0,3.0,0.0,3.0,77.0,0.055
Hegde Nagar,1801.0,3.0,2.0,3.0,115.0,0.06385341476957246
Mahadevpura,1451.0,2.0,0.0,2.0,90.0,0.06202618883528601
Anekal,1200.0,1.0,1.0,2.0,36.0,0.03
Begur Road,1160.0,2.0,2.0,2.0,44.0,0.03793103448275862
Kanakpura Road,950.0,2.0,1.0,2.0,40.0,0.042105263157894736
Vijayanagar,1580.0,2.0,0.0,3.0,134.0,0.08481012658227848
Vijayanagar,1826.0,3.0,2.0,3.0,121.0,0.06626506024096386
7th Phase JP Nagar,1245.0,2.0,1.0,2.0,94.0,0.07550200803212852
Raja Rajeshwari Nagar,1145.0,2.0,2.0,2.0,45.79,0.03999126637554585
Yeshwanthpur,1693.0,3.0,3.0,3.0,108.0,0.0637920850561134
Electronics City Phase 1,1113.27,2.0,2.0,2.0,53.0,0.047607498630161595
Doddathoguru,1050.0,2.0,1.0,2.0,32.0,0.030476190476190476
Dodda Nekkundi,1260.0,2.0,2.0,2.0,55.0,0.04365079365079365
Hosur Road,1656.0,2.0,1.0,2.0,120.0,0.07246376811594203
Chandapura,1208.0,3.0,1.0,3.0,45.0,0.037251655629139076
Whitefield,1910.0,3.0,2.0,3.0,161.0,0.08429319371727749
Whitefield,3252.0,4.0,1.0,4.0,230.0,0.07072570725707257
7th Phase JP Nagar,1175.0,2.0,1.0,2.0,82.0,0.06978723404255319
Bannerghatta Road,1200.0,2.0,0.0,4.0,125.0,0.10416666666666667
Rajaji Nagar,2390.0,3.0,2.0,3.0,410.0,0.17154811715481172
Kengeri,370.92,1.0,0.0,1.0,18.5,0.04987598403968511
Kengeri,750.0,2.0,1.0,2.0,38.0,0.050666666666666665
Kanakpura Road,1550.0,3.0,3.0,3.0,64.5,0.04161290322580645
Nagarbhavi,1350.0,3.0,2.0,3.0,150.0,0.1111111111111111
TC Palaya,1200.0,2.0,0.0,2.0,60.0,0.05
Ambalipura,1105.0,2.0,1.0,2.0,75.0,0.06787330316742081
Hoodi,985.0,2.0,2.0,2.0,67.0,0.06802030456852792
Balagere,1590.0,3.0,2.0,3.0,79.0,0.04968553459119497
CV Raman Nagar,1120.0,2.0,2.0,2.0,55.0,0.049107142857142856
Marathahalli,1933.0,3.0,2.0,3.0,140.0,0.07242628039317124
Hosur Road,1194.0,2.0,0.0,2.0,69.0,0.05778894472361809
Brookefield,1150.0,2.0,3.0,2.0,69.0,0.06
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2.0,48.1,0.03389711064129669
Bellandur,1250.0,2.0,1.0,2.0,76.0,0.0608
7th Phase JP Nagar,1400.0,2.0,1.0,3.0,95.0,0.06785714285714285
Sarjapur  Road,1670.0,2.0,3.0,3.0,57.0,0.03413173652694611
Vittasandra,1404.0,2.0,1.0,2.0,71.0,0.05056980056980057
Hoodi,1715.0,2.0,2.0,3.0,95.0,0.05539358600583091
Electronic City,630.0,1.0,1.0,1.0,34.65,0.055
Harlur,1752.12,3.0,2.0,3.0,135.0,0.07704951715635916
Hulimavu,1650.0,3.0,2.0,3.0,78.0,0.04727272727272727
Raja Rajeshwari Nagar,1295.0,2.0,1.0,2.0,55.47,0.042833976833976835
Sarjapur  Road,1346.0,2.0,1.0,2.0,74.03,0.055
Hormavu,1150.0,2.0,2.0,2.0,55.0,0.04782608695652174
Chandapura,1190.0,2.0,2.0,3.0,30.35,0.02550420168067227
Marathahalli,950.0,2.0,1.0,2.0,46.96,0.049431578947368424
Harlur,2450.0,3.0,0.0,3.0,120.0,0.04897959183673469
Electronic City Phase II,1220.0,2.0,1.0,3.0,35.23,0.028877049180327866
Chikkalasandra,1100.0,2.0,2.0,2.0,50.0,0.045454545454545456
Hebbal,1760.0,2.0,2.0,3.0,130.0,0.07386363636363637
Ambalipura,1800.0,3.0,3.0,3.0,110.0,0.06111111111111111
Akshaya Nagar,1070.0,2.0,1.0,2.0,54.0,0.05046728971962617
Vidyaranyapura,1440.0,2.0,0.0,2.0,95.0,0.06597222222222222
Whitefield,1130.0,2.0,1.0,2.0,42.16,0.03730973451327433
Koramangala,1320.0,2.0,1.0,2.0,165.0,0.125
Subramanyapura,929.0,2.0,0.0,2.0,50.17,0.05400430570505921
7th Phase JP Nagar,3600.0,4.0,3.0,4.0,400.0,0.1111111111111111
Chikkalasandra,1208.0,2.0,1.0,2.0,49.0,0.04056291390728477
Hebbal Kempapura,1130.0,2.0,2.0,2.0,60.0,0.05309734513274336
Hoodi,1196.0,2.0,2.0,2.0,94.42,0.07894648829431439
5th Phase JP Nagar,1150.0,3.0,3.0,2.0,52.5,0.04565217391304348
Electronic City,1128.0,2.0,1.0,2.0,63.0,0.05585106382978723
Yelahanka,1035.0,2.0,1.0,2.0,45.0,0.043478260869565216
Bisuvanahalli,1075.0,2.0,1.0,3.0,36.0,0.03348837209302326
Whitefield,1040.0,2.0,1.0,2.0,48.5,0.046634615384615385
Hoodi,1545.0,3.0,1.0,3.0,68.75,0.04449838187702265
Vidyaranyapura,1062.0,2.0,3.0,2.0,38.0,0.035781544256120526
JP Nagar,1000.0,2.0,1.0,2.0,35.0,0.035
Sarjapur  Road,1195.0,2.0,1.0,2.0,70.0,0.058577405857740586
Vittasandra,1246.0,2.0,1.0,2.0,67.0,0.05377207062600321
Haralur Road,2805.0,5.0,3.0,4.0,154.0,0.054901960784313725
Begur Road,1584.0,3.0,0.0,3.0,65.0,0.041035353535353536
Hosur Road,1175.0,2.0,2.0,3.0,48.0,0.04085106382978723
Electronic City,1599.0,3.0,2.0,3.0,125.0,0.07817385866166354
Whitefield,1150.0,2.0,1.0,2.0,70.0,0.06086956521739131
KR Puram,1155.0,2.0,2.0,2.0,42.74,0.037004329004329005
Thanisandra,3000.0,4.0,0.0,4.0,120.0,0.04
Ramagondanahalli,1251.0,2.0,1.0,2.0,47.0,0.037569944044764186
Bannerghatta Road,1170.0,2.0,1.0,3.0,66.0,0.05641025641025641
Hebbal,2400.0,4.0,1.0,3.0,245.0,0.10208333333333333
HSR Layout,1372.0,2.0,1.0,2.0,68.0,0.04956268221574344
Kanakpura Road,1135.0,2.0,1.0,2.0,39.73,0.03500440528634361
Whitefield,1768.0,3.0,2.0,3.0,101.0,0.057126696832579184
Electronic City,1599.0,3.0,2.0,3.0,99.0,0.06191369606003752
Whitefield,1500.0,3.0,1.0,3.0,61.95,0.0413
Uttarahalli,1286.0,2.0,2.0,2.0,63.0,0.048989113530326596
Hennur Road,1317.5,2.0,0.0,2.0,63.77,0.0484022770398482
Hebbal,3450.0,5.0,2.0,3.0,260.0,0.07536231884057971
Yelahanka,1350.0,2.0,2.0,2.0,54.0,0.04
Banashankari,1200.0,2.0,2.0,3.0,42.0,0.035
Kanakpura Road,525.0,1.0,1.0,1.0,27.25,0.051904761904761905
Attibele,656.0,2.0,1.0,2.0,25.0,0.038109756097560975
Bannerghatta Road,595.0,1.0,1.0,1.0,33.32,0.056
7th Phase JP Nagar,2225.0,3.0,1.0,3.0,160.0,0.07191011235955057
Electronics City Phase 1,1490.0,3.0,1.0,3.0,84.0,0.056375838926174496
Sarjapur  Road,1550.0,3.0,3.0,3.0,100.0,0.06451612903225806
Sarjapur  Road,2100.0,3.0,2.0,3.0,125.0,0.05952380952380952
Vittasandra,1404.0,2.0,1.0,2.0,69.3,0.04935897435897436
Sarjapur  Road,2230.0,4.0,3.0,4.0,225.0,0.10089686098654709
Marathahalli,1230.0,2.0,2.0,2.0,80.0,0.06504065040650407
Harlur,1460.0,3.0,1.0,3.0,73.0,0.05
Gottigere,967.0,2.0,3.0,2.0,45.0,0.04653567735263702
Hormavu,715.0,1.0,2.0,1.0,46.0,0.06433566433566433
Whitefield,2500.0,3.0,2.0,3.0,313.0,0.1252
Mysore Road,1020.0,2.0,1.0,2.0,48.95,0.04799019607843138
Jigani,1020.0,2.0,1.0,2.0,40.0,0.0392156862745098
Koramangala,1253.0,2.0,1.0,2.0,102.0,0.08140462889066241
Kanakapura,1419.0,3.0,3.0,3.0,75.0,0.052854122621564484
Harlur,1709.0,3.0,2.0,3.0,150.0,0.08777062609713282
HSR Layout,1430.0,2.0,1.0,3.0,65.0,0.045454545454545456
Sarjapur  Road,1249.0,3.0,2.0,3.0,44.71,0.035796637309847876
Kalena Agrahara,1450.0,2.0,3.0,3.0,85.0,0.05862068965517241
Gottigere,891.0,2.0,1.0,2.0,25.0,0.028058361391694726
Raja Rajeshwari Nagar,1133.0,2.0,1.0,2.0,49.07,0.04330979699911739
Bisuvanahalli,1075.0,2.0,1.0,3.0,37.0,0.03441860465116279
Brookefield,2440.0,5.0,2.0,4.0,425.0,0.17418032786885246
Vidyaranyapura,1200.0,2.0,2.0,2.0,55.0,0.04583333333333333
Thanisandra,1075.0,2.0,2.0,2.0,45.8,0.0426046511627907
Kaggadasapura,1140.0,2.0,2.0,2.0,40.0,0.03508771929824561
Raja Rajeshwari Nagar,1090.0,2.0,1.0,2.0,42.0,0.03853211009174312
Whitefield,1790.0,3.0,0.0,3.0,100.0,0.055865921787709494
Hebbal,1920.0,3.0,2.0,3.0,134.0,0.06979166666666667
Bannerghatta Road,1445.0,3.0,2.0,3.0,95.0,0.0657439446366782
Kanakapura,711.0,1.0,1.0,1.0,36.0,0.05063291139240506
Tumkur Road,1500.0,3.0,3.0,3.0,95.0,0.06333333333333334
Whitefield,1720.0,3.0,3.0,3.0,100.0,0.05813953488372093
Kundalahalli,1030.0,2.0,2.0,2.0,49.0,0.04757281553398058
Mysore Road,1200.0,2.0,1.0,2.0,85.0,0.07083333333333333
Hegde Nagar,1050.0,1.0,0.0,2.0,56.0,0.05333333333333334
Jalahalli,2250.0,3.0,2.0,3.0,160.0,0.07111111111111111
Bellandur,1000.0,2.0,2.0,2.0,50.0,0.05
Marathahalli,3800.0,4.0,3.0,4.0,250.0,0.06578947368421052
Malleshwaram,2500.0,5.0,2.0,4.0,325.0,0.13
Mahadevpura,1225.0,2.0,2.0,2.0,48.0,0.03918367346938775
Chikkalasandra,875.0,2.0,3.0,2.0,52.8,0.06034285714285714
Haralur Road,1194.0,2.0,2.0,2.0,47.0,0.03936348408710218
Hennur Road,1500.0,2.0,2.0,3.0,62.0,0.04133333333333333
Hosakerehalli,2378.0,3.0,1.0,3.0,262.0,0.11017661900756939
Sarjapur,1128.0,2.0,1.0,2.0,60.0,0.05319148936170213
Hebbal,1500.0,3.0,1.0,3.0,150.0,0.1
Sarjapur  Road,1210.0,2.0,2.0,2.0,58.0,0.047933884297520664
Kanakpura Road,1100.0,2.0,1.0,3.0,58.0,0.05272727272727273
Bommasandra,1200.0,3.0,2.0,3.0,46.0,0.03833333333333333
Haralur Road,3385.0,5.0,0.0,4.0,260.0,0.07680945347119646
Horamavu Agara,1200.0,2.0,1.0,2.0,45.0,0.0375
Raja Rajeshwari Nagar,1260.0,2.0,1.0,2.0,67.39,0.05348412698412698
Mahadevpura,1720.0,3.0,3.0,3.0,78.0,0.04534883720930233
Yelahanka,1132.5,2.0,0.0,2.0,48.13,0.04249889624724062
Yelahanka,1210.0,2.0,1.0,2.0,45.98,0.038
Indira Nagar,2200.0,4.0,2.0,4.0,200.0,0.09090909090909091
Bisuvanahalli,1075.0,2.0,1.0,3.0,45.0,0.04186046511627907
Thanisandra,1702.0,3.0,2.0,3.0,130.0,0.07638072855464159
Raja Rajeshwari Nagar,1141.0,2.0,2.0,2.0,38.55,0.03378615249780894
Bannerghatta Road,1640.0,2.0,1.0,3.0,120.0,0.07317073170731707
Kodichikkanahalli,1190.0,2.0,2.0,3.0,57.0,0.04789915966386555
Marathahalli,1019.0,2.0,2.0,2.0,49.85,0.04892051030421982
Akshaya Nagar,1250.0,3.0,2.0,3.0,40.0,0.032
Brookefield,1200.0,3.0,2.0,3.0,140.0,0.11666666666666667
Whitefield,1140.0,2.0,1.0,2.0,56.0,0.04912280701754386
Kaggadasapura,1515.0,3.0,0.0,3.0,83.3,0.05498349834983498
Hoodi,2118.0,4.0,2.0,4.0,111.0,0.05240793201133145
Bannerghatta Road,1380.0,3.0,0.0,4.0,58.0,0.042028985507246375
Electronic City,1125.0,2.0,1.0,2.0,32.49,0.028880000000000003
Kothanur,1580.0,3.0,3.0,3.0,76.0,0.04810126582278481
