location,total_sqft,bath,balcony,bhk,price,price_per_square_foot
Yeshwanthpur,2504.0,3.0,3.0,3.0,138.0,0.05511182108626198
KR Puram,2065.0,4.0,0.0,4.0,248.0,0.12009685230024213
Uttarahalli,1175.0,2.0,2.0,2.0,47.0,0.04
Hebbal Kempapura,2800.0,5.0,1.0,5.0,220.0,0.07857142857142857
Thanisandra,1881.0,3.0,0.0,3.0,95.0,0.050505050505050504
Bhoganhalli,896.9,2.0,1.0,2.0,78.74,0.08779128107927305
Hosa Road,1726.0,3.0,2.0,3.0,81.99,0.04750289687137891
Kadugodi,1900.0,3.0,0.0,3.0,108.0,0.056842105263157895
Hosakerehalli,1200.0,3.0,2.0,3.0,175.0,0.14583333333333334
Sahakara Nagar,1100.0,2.0,1.0,2.0,56.0,0.05090909090909091
HSR Layout,1009.0,2.0,2.0,2.0,56.0,0.05550049554013875
Sahakara Nagar,1180.0,2.0,2.0,2.0,72.0,0.061016949152542375
Vittasandra,1238.0,2.0,1.0,2.0,67.0,0.05411954765751212
Harlur,1710.0,3.0,2.0,3.0,85.0,0.049707602339181284
Dodda Nekkundi,2400.0,4.0,2.0,3.0,300.0,0.125
Bannerghatta Road,1181.0,2.0,0.0,2.0,55.0,0.04657070279424217
Whitefield,1135.0,2.0,2.0,2.0,58.0,0.05110132158590308
Whitefield,920.0,2.0,1.0,2.0,63.0,0.06847826086956521
Electronic City,1090.0,2.0,1.0,2.0,31.49,0.02888990825688073
Channasandra,1175.0,2.0,2.0,2.0,38.0,0.03234042553191489
Harlur,1754.0,3.0,2.0,3.0,132.0,0.07525655644241733
Old Madras Road,1211.0,2.0,3.0,2.0,45.0,0.037159372419488024
8th Phase JP Nagar,1269.0,2.0,3.0,3.0,50.75,0.039992119779353824
Varthur,1200.0,3.0,1.0,3.0,68.38,0.05698333333333333
Kanakpura Road,1450.0,3.0,3.0,3.0,60.9,0.041999999999999996
Whitefield,1431.0,3.0,2.0,3.0,85.0,0.0593990216631726
R.T. Nagar,1200.0,2.0,1.0,2.0,120.0,0.1
Hennur Road,1445.0,2.0,1.0,3.0,105.0,0.0726643598615917
Hebbal,1355.0,3.0,1.0,3.0,83.87,0.06189667896678967
Chandapura,1200.0,2.0,1.0,2.0,60.0,0.05
Thanisandra,2800.0,5.0,2.0,4.0,380.0,0.1357142857142857
Electronic City Phase II,1305.0,3.0,1.0,3.0,65.0,0.04980842911877394
Koramangala,1253.0,2.0,1.0,2.0,102.0,0.08140462889066241
Horamavu Agara,1284.0,2.0,2.0,3.0,75.0,0.05841121495327103
Kudlu Gate,1535.0,3.0,2.0,3.0,85.0,0.05537459283387622
Bannerghatta Road,1105.0,2.0,1.0,2.0,51.0,0.046153846153846156
Bannerghatta Road,1218.0,2.0,1.0,2.0,73.0,0.05993431855500821
R.T. Nagar,1400.0,2.0,3.0,3.0,78.0,0.055714285714285716
Marathahalli,1102.0,2.0,2.0,2.0,53.67,0.04870235934664247
Basavangudi,1600.0,2.0,2.0,3.0,160.0,0.1
Marathahalli,1350.0,3.0,1.0,3.0,72.0,0.05333333333333334
Hosakerehalli,2376.0,3.0,1.0,3.0,203.0,0.08543771043771044
Kothanur,1435.0,3.0,3.0,3.0,70.0,0.04878048780487805
Raja Rajeshwari Nagar,1485.0,2.0,2.0,3.0,63.0,0.04242424242424243
Anekal,420.0,1.0,1.0,1.0,12.5,0.02976190476190476
Kaggadasapura,2100.0,5.0,0.0,5.0,150.0,0.07142857142857142
Lakshminarayana Pura,1720.0,3.0,3.0,3.0,150.0,0.0872093023255814
Sarjapur  Road,1510.0,2.0,1.0,3.0,110.0,0.0728476821192053
Electronic City,1275.0,3.0,3.0,3.0,63.43,0.049749019607843135
Thanisandra,1183.0,2.0,1.0,2.0,58.56,0.049501267962806426
Uttarahalli,1160.0,2.0,2.0,2.0,45.0,0.03879310344827586
Hebbal,1088.0,2.0,2.0,2.0,61.45,0.056479779411764706
Kanakpura Road,1100.0,3.0,2.0,3.0,53.0,0.04818181818181818
Whitefield,530.0,1.0,1.0,1.0,29.44,0.055547169811320754
Kudlu Gate,1113.0,2.0,1.0,2.0,50.0,0.044923629829290206
Koramangala,1350.0,2.0,2.0,2.0,103.0,0.07629629629629629
Somasundara Palya,1448.0,2.0,2.0,2.0,68.0,0.04696132596685083
Whitefield,1495.0,2.0,0.0,3.0,70.0,0.046822742474916385
Vittasandra,1246.0,2.0,1.0,2.0,67.4,0.05409309791332264
Hennur Road,1831.0,3.0,1.0,3.0,110.0,0.060076460950300385
Electronic City,1073.0,2.0,2.0,2.0,60.0,0.05591798695246971
Old Madras Road,1630.0,3.0,2.0,3.0,110.0,0.06748466257668712
Attibele,2400.0,2.0,2.0,4.0,250.0,0.10416666666666667
Sarjapur  Road,1230.0,2.0,3.0,2.0,94.5,0.07682926829268293
Bommasandra,902.0,2.0,2.0,2.0,49.0,0.05432372505543237
Panathur,1688.0,3.0,1.0,3.0,118.0,0.06990521327014218
Hosur Road,1427.0,2.0,1.0,3.0,130.0,0.09110021023125438
Jigani,920.0,2.0,2.0,2.0,46.0,0.05
Bisuvanahalli,1075.0,2.0,1.0,3.0,43.0,0.04
Horamavu Agara,750.0,2.0,1.0,2.0,37.49,0.04998666666666667
Kengeri Satellite Town,1149.0,2.0,2.0,3.0,29.0,0.025239338555265448
Electronic City Phase II,1253.0,2.0,1.0,2.0,65.8,0.05251396648044693
Begur Road,1215.0,2.0,1.0,2.0,43.75,0.0360082304526749
KR Puram,1100.0,2.0,1.0,2.0,39.9,0.03627272727272727
Hebbal,1645.0,3.0,2.0,3.0,113.0,0.06869300911854104
Gottigere,1200.0,2.0,0.0,2.0,95.0,0.07916666666666666
Kundalahalli,1397.0,3.0,2.0,3.0,110.0,0.07874015748031496
Thanisandra,776.5,1.0,0.0,1.0,48.145,0.06200257566001288
Thanisandra,1430.0,2.0,3.0,3.0,54.5,0.03811188811188811
Hosakerehalli,3024.0,5.0,1.0,4.0,248.0,0.082010582010582
Electronics City Phase 1,950.0,2.0,3.0,2.0,31.0,0.03263157894736842
Doddathoguru,1382.0,3.0,1.0,3.0,65.0,0.04703328509406657
Hennur,1155.0,2.0,2.0,2.0,54.5,0.047186147186147186
Devanahalli,1080.0,2.0,0.0,2.0,53.35,0.04939814814814815
Varthur,1024.0,2.0,2.0,2.0,42.0,0.041015625
Doddathoguru,970.0,2.0,0.0,2.0,33.0,0.03402061855670103
Sarjapur,1425.0,3.0,2.0,3.0,57.0,0.04
Doddathoguru,1100.0,2.0,1.0,2.0,62.0,0.056363636363636366
Kudlu Gate,1664.0,3.0,2.0,3.0,68.0,0.040865384615384616
Thanisandra,1948.0,3.0,2.0,3.0,130.0,0.06673511293634497
7th Phase JP Nagar,1180.0,2.0,2.0,2.0,72.0,0.061016949152542375
Chandapura,877.0,2.0,3.0,2.0,42.0,0.04789053591790194
Gottigere,1200.0,2.0,2.0,2.0,50.0,0.041666666666666664
Jakkur,1473.0,2.0,1.0,2.0,85.0,0.05770536320434488
Jakkur,1858.0,3.0,1.0,3.0,123.0,0.06620021528525297
Electronic City Phase II,769.0,2.0,1.0,2.0,40.0,0.05201560468140442
Rajaji Nagar,1500.0,2.0,0.0,3.0,99.0,0.066
Varthur,1737.0,2.0,1.0,3.0,57.32,0.03299942429476108
R.T. Nagar,1200.0,2.0,3.0,2.0,45.0,0.0375
7th Phase JP Nagar,1370.0,2.0,1.0,3.0,54.79,0.03999270072992701
9th Phase JP Nagar,1522.0,3.0,2.0,3.0,90.0,0.05913272010512484
Vittasandra,1650.0,3.0,1.0,3.0,85.0,0.051515151515151514
Ramamurthy Nagar,1000.0,2.0,1.0,2.0,62.0,0.062
Electronics City Phase 1,1070.0,2.0,1.0,2.0,45.5,0.04252336448598131
Yelahanka,1104.0,2.0,2.0,2.0,58.0,0.05253623188405797
Nagarbhavi,1630.0,2.0,1.0,3.0,98.0,0.06012269938650307
Varthur,1320.0,2.0,1.0,4.0,110.0,0.08333333333333333
Sarjapur,625.0,1.0,1.0,1.0,19.0,0.0304
Electronic City Phase II,1611.0,2.0,2.0,3.0,48.33,0.03
Hosur Road,950.0,2.0,1.0,2.0,60.0,0.06315789473684211
Whitefield,1170.0,2.0,1.0,2.0,71.0,0.06068376068376068
Bannerghatta Road,1200.0,2.0,0.0,4.0,125.0,0.10416666666666667
Sarjapur,1333.0,3.0,1.0,3.0,50.0,0.037509377344336084
Whitefield,1216.0,2.0,1.0,2.0,75.0,0.061677631578947366
Hulimavu,581.0,1.0,1.0,1.0,29.0,0.04991394148020654
Koramangala,1084.0,2.0,1.0,2.0,179.0,0.16512915129151293
Bhoganhalli,1447.0,2.0,1.0,2.0,75.97,0.05250172771250864
Kanakpura Road,1592.0,3.0,0.0,3.0,125.0,0.0785175879396985
Electronic City,1165.0,2.0,1.0,2.0,33.64,0.028875536480686696
HSR Layout,1027.0,2.0,2.0,2.0,44.0,0.042843232716650435
Begur Road,1565.0,2.0,2.0,3.0,56.0,0.03578274760383387
Kanakpura Road,1610.0,3.0,3.0,3.0,78.5,0.04875776397515528
Marathahalli,1220.0,2.0,1.0,2.0,58.5,0.04795081967213115
Rajaji Nagar,2386.0,3.0,0.0,3.0,334.0,0.1399832355406538
Hennur Road,1232.0,2.0,1.0,2.0,87.0,0.07061688311688312
Varthur,1395.0,2.0,3.0,3.0,79.0,0.056630824372759854
Ambalipura,1303.0,2.0,2.0,2.0,80.0,0.06139677666922486
Kanakpura Road,1100.0,3.0,2.0,3.0,56.57,0.051427272727272724
Ramagondanahalli,1610.0,2.0,1.0,3.0,112.0,0.06956521739130435
Hennur,1255.0,2.0,1.0,2.0,53.57,0.04268525896414343
Akshaya Nagar,1200.0,2.0,1.0,2.0,50.0,0.041666666666666664
Electronic City,1125.0,2.0,1.0,2.0,32.5,0.028888888888888888
Electronics City Phase 1,645.0,1.0,0.0,1.0,42.5,0.06589147286821706
Uttarahalli,1689.28,3.0,2.0,3.0,91.2,0.0539874976321273
Whitefield,1485.0,2.0,1.0,2.0,96.51,0.06498989898989899
Hormavu,1150.0,2.0,2.0,2.0,55.0,0.04782608695652174
Hebbal,1200.0,2.0,1.0,2.0,52.0,0.043333333333333335
Thigalarapalya,2215.0,4.0,2.0,3.0,150.0,0.06772009029345373
Basavangudi,2500.0,4.0,1.0,4.0,150.0,0.06
Marathahalli,1365.0,2.0,2.0,2.0,73.0,0.05347985347985348
Budigere,1139.0,2.0,2.0,2.0,60.0,0.05267778753292362
Hosur Road,3000.0,4.0,2.0,4.0,160.0,0.05333333333333334
Bannerghatta Road,1894.0,3.0,1.0,3.0,115.0,0.06071805702217529
7th Phase JP Nagar,1187.0,2.0,1.0,2.0,59.0,0.04970513900589722
Yelahanka,1180.0,3.0,1.0,3.0,55.0,0.046610169491525424
Electronic City Phase II,1651.0,3.0,1.0,3.0,49.53,0.030000000000000002
Rajaji Nagar,1600.0,3.0,0.0,4.0,140.0,0.0875
Electronic City,1000.0,2.0,1.0,2.0,29.95,0.02995
Rajaji Nagar,1640.0,3.0,2.0,3.0,268.0,0.16341463414634147
Talaghattapura,1856.0,3.0,2.0,3.0,135.0,0.07273706896551724
Channasandra,1160.0,2.0,1.0,2.0,55.0,0.04741379310344827
TC Palaya,1350.0,3.0,1.0,3.0,60.0,0.044444444444444446
Akshaya Nagar,1897.0,3.0,2.0,3.0,120.0,0.0632577754348972
Chandapura,740.0,1.0,1.0,2.0,22.0,0.02972972972972973
Haralur Road,1730.0,3.0,1.0,3.0,95.0,0.05491329479768786
Kanakpura Road,700.0,2.0,1.0,2.0,35.0,0.05
Thanisandra,1100.0,2.0,1.0,2.0,38.0,0.034545454545454546
Yeshwanthpur,3600.0,5.0,0.0,4.0,220.0,0.06111111111111111
Yelahanka,1350.0,2.0,2.0,2.0,54.0,0.04
Electronics City Phase 1,1490.0,3.0,1.0,3.0,84.0,0.056375838926174496
R.T. Nagar,2400.0,6.0,1.0,5.0,450.0,0.1875
Rajaji Nagar,1268.0,2.0,1.0,2.0,127.0,0.10015772870662461
Kasavanhalli,1667.0,3.0,2.0,3.0,92.0,0.055188962207558485
Kanakpura Road,1220.0,2.0,2.0,2.0,60.0,0.04918032786885246
Bommasandra,1478.0,2.0,0.0,3.0,44.0,0.029769959404600813
Whitefield,1862.0,3.0,2.0,3.0,125.0,0.06713211600429646
Banashankari,1300.0,2.0,2.0,3.0,75.0,0.057692307692307696
Kudlu,1027.0,2.0,1.0,2.0,44.0,0.042843232716650435
Yelahanka,1408.0,2.0,2.0,2.0,58.0,0.041193181818181816
Gottigere,1806.0,1.0,1.0,1.0,150.0,0.08305647840531562
Sarjapur  Road,1800.0,3.0,1.0,4.0,90.0,0.05
Electronic City,1320.0,2.0,1.0,3.0,38.12,0.028878787878787875
Brookefield,1150.0,2.0,3.0,2.0,69.0,0.06
Yelahanka New Town,440.0,1.0,1.0,1.0,16.5,0.0375
7th Phase JP Nagar,2200.0,3.0,2.0,3.0,190.0,0.08636363636363636
Frazer Town,1870.0,3.0,3.0,3.0,185.0,0.09893048128342247
Electronic City,1500.0,2.0,1.0,3.0,78.0,0.052
Kanakpura Road,1570.0,3.0,3.0,3.0,64.5,0.0410828025477707
Vittasandra,1246.0,2.0,1.0,2.0,68.0,0.05457463884430177
Electronic City,1128.0,2.0,1.0,2.0,64.8,0.0574468085106383
Hebbal,3895.0,4.0,2.0,4.0,405.0,0.10397946084724005
Chikkalasandra,1100.0,2.0,2.0,2.0,50.0,0.045454545454545456
Electronic City Phase II,1160.0,2.0,1.0,2.0,33.5,0.028879310344827585
Talaghattapura,2038.5,3.0,0.0,3.0,120.0,0.05886681383370125
Dodda Nekkundi,1315.0,2.0,2.0,2.0,50.0,0.03802281368821293
Rajaji Nagar,2409.0,3.0,2.0,3.0,360.0,0.149439601494396
5th Phase JP Nagar,2400.0,4.0,1.0,4.0,228.0,0.095
Kudlu Gate,1656.0,3.0,2.0,3.0,80.0,0.04830917874396135
Dodda Nekkundi,1155.0,2.0,1.0,2.0,46.0,0.03982683982683983
